start	end	text
0	6640	mean, what is it that you want to protect? Things on the inside. To be strictly strict
6640	13320	about it, I mean, this is sort of an old-fashioned intranet, but really it's like the private
13320	18900	network. And it has all this trust, the posts and other stuff and other networks and equipment
18900	26740	and printers and, I don't know, IoT devices and whatever you have. I think there's a big
26740	33740	bad world outside. If the world wasn't bad, we wouldn't need firewall. So the world is
33740	40680	big and the world is bad. And the typical thing here is that you have a router that connects
40680	47120	you to the, like ISP, right? Or if you are, if the organization itself is already its own
47120	52160	ISP, connects you to the long haul. Remember autonomous systems? Yeah, I'm talking about
52160	57380	autonomous domain, autonomous systems that provide like long distance services. So anyway,
57380	62300	this connects you to the rest of the world. And then here you have this firewall. And the
62300	68600	firewall is your sort of first line of defense, right? Router is not a firewall. Sometimes
68600	73160	they can live in the same platform, but logically a router and a firewall are two very different
73160	80160	things. Router's job, main job, is to route packets and to maintain a routing table and
80160	86160	to exchange information with other routers about reachability and congestion and all things
86160	95160	like that. It does not generally perform security tasks. Its main job is not security. Firewall's
95160	102160	main job, the only job is security. There's no other job that a firewall has, just security.
102160	112160	Now here, this is again a bit old fashioned terminology, but often referred to as DMZ or demilitarized
112160	120160	zones. Okay? So this is where you put your publicly accessible servers, like your web server,
120160	129160	right? Or your VPN server, or some other server, or customer support, whatever. So things that
129160	135160	you want to be accessible from the outside with less scrutiny, anybody should be able to access
135160	142160	at least the company web server, right? Every company that, you know, unless they're super secretive,
142160	151160	right? 99% and more probably of the entities, right? Commercial entities have web presence. What
151160	155160	that means is they have a web server. Now some of them do it like this. Some of them host a
155160	165160	web server out on a third party provider. Okay? But many do this. They just put it in a DMZ. And
165160	174160	the firewall will make sure that traffic can go to the DMZ with no scrutiny. But the DMZ itself
174160	180160	is separate, physically disconnected from the rest. So there's no line. If there is a line
180160	187160	here, that's a recipe for a disaster. Okay? So if there's anything you remember, or one of
187160	192160	the few things you should remember about this lecture, that if you have a DMZ, its only connection
192160	206160	should be to the firewall. Okay? And there should be zero connection here. Okay? So I already
206160	212160	mentioned the moat. But, important thing, before you start thinking and have your mindset
212160	219160	that O is a big bad world and we ought to protect our precious resources from the big bad world.
219160	226160	It is true, but it's not the entire truth. In addition to that, you want to protect yourself from
226160	239160	things coming out. Why do you care about things coming out? Not just going in. Anybody?
