start	end	text
0	9160	where instead of doing what you see here, every block is encrypted with a different key.
11520	16380	Now, you start with the same key, but for every block that you encrypt,
16700	23640	you derive a unique key based on the master key and the block number, the position of the block.
23640	32740	So that makes sure that every block knows its place and cannot be moved around or deleted, okay?
37140	42180	So there are other modes that I'm not going to go into here, but if you're in, because that's crypto, right,
42240	48440	then we're trying to kind of bulldoze for crypto fairly quickly because you should know something about it.
48440	55800	Now, as you also know, there's two types of crypto, symmetric or conventional, and public key or asymmetric.
56900	60560	All right, and the differences are fairly obvious.
60980	65300	In a symmetric crypto, both parties, assuming there are two parties to communicate,
65640	68260	both parties need to know the same key, okay?
69320	72460	And the biggest problem there is how to distribute that key,
72460	78580	how to, who comes up with the key, and how does the other party learn the key, right?
78660	80280	So it's key distribution or key management.
81640	85660	In a public key crypto, you have this radically, totally different approach, right,
85700	90640	where the public key is known for everybody, but private keys are not, right?
90720	95840	So, typical situation, I put my public key on my webpage or on Canvas.
95840	102680	As enrolled students, you will see it as public, and then any one of you can send me a secure message
102680	104180	using my public key.
105120	110080	As long as you trust that it is mine, okay, you can send me a secure message,
110300	114820	and none of you can interfere with other people's messages or read them, right, or anything like that, right?
115180	119560	So only I can decrypt because I have, I am the only one who has a private key.
119560	123460	So that kind of solves, sort of, kind of the distribution problem,
123640	132460	because my public key is not secret, so there's no, like, headache of how do I distribute it, right?
132500	133400	I just post it somewhere.
135580	135820	Yeah?
140500	145840	So in public key crypto, the plain text message goes for the encryption algorithm,
145840	148020	which is computed with the message itself.
149560	155360	It must be allergies.
156180	158800	Ah, Bob's public key is known to Alice.
158940	162340	Alice uses the message, and Bob's public key to produce the ciphertext.
162640	165220	That's the notation we use in this lecture.
165820	167020	I'm borrowing from the book.
168780	172980	And then Bob, who knows a private key, not the same as the public key, okay,
172980	178520	that's the whole point, will somehow compute a transformation on the ciphertext
178520	183240	that will negate the effects of encryption and spit out the same message.
183240	185140	That's where magic happens.
185140	195340	In order for this magic to work, you need to have some functions, right?
196000	203680	Encrypt and decrypt functions, where essentially these operations with two different keys reverse each other.
203680	208400	And this is different from symmetric crypto, where you can say, well, XOR, for example, right?
208400	217680	They use one-time path, XOR with a key encrypts the plaintext, and, again, XORing the ciphertext with a key decrypts,
217680	223280	because XOR of something with something, the same cancels it out.
224280	231880	But here, we have two different keys, and so, in addition, if you know the public key,
232240	236960	like in my example, I'm the instructor, I post my public key on the bulletin board somewhere,
237960	242380	that public key should not allow you to let my secret key, or my private key.
242380	246080	If that was the case, it would be useless, right?
246340	252800	So, it's not impossible, because obviously there is some relationship between my public key and my private key, right?
253780	256960	So, by saying impossible, that's a high bar.
257200	262040	I'm not saying it's impossible, but it should be computationally very hard for you to learn my private key.
