start	end	text
0	9000	like SSL that we're going to go over later and there's some wireless, I think it ends
9000	17000	with some firewalls which also will go in depth and wireless.
17000	23000	Any questions from us?
23000	32000	So again, I would like to have your new proposals by next Tuesday, like last time.
32000	40000	If you have any fundamental questions there about what I expect, ask.
40000	44000	I'll have officers on Monday.
44000	49000	Again, I want to deal with two people.
49000	59000	No double dipping means not to use material that you did already or you're doing in parallel
59000	61000	in some other course.
61000	67000	So there has to be something distinct that you do for this part.
67000	77000	And if you plan to do writing, survey or something like that, no chatbots.
77000	81000	That should be you.
81000	89000	If you do use some tools that you are not sure, or you want to use some tools, you're not quite sure if this transcends the boundary, just ask.
89000	95000	It's easier to ask now than to explain later.
95000	101000	Okay, so user authentication, one of the basic topics in computer security.
101000	103000	How do we authenticate humans?
103000	107000	That means us.
107000	112000	All right, basic problem.
112000	121000	Somebody claims to be Alice or Bob, and now how do you prove that you are that Alice or Bob?
121000	123000	Now why do we do authentication?
123000	126000	We do authentication in order to enforce access control.
126000	132000	All right, just authentication for the sake of authentication isn't useful.
132000	137000	What's the point of authenticating you if nothing happens?
137000	147000	And any form of, any time you are asked for anything that identifies you and authenticates you, it's for some purpose.
147000	152000	Whether it's a policeman that stops you and says, where's your driver's license?
152000	155000	The driver's license is to let you go.
155000	157000	If you authenticate you, you let you go.
157000	158000	Then you get a ticket.
158000	161000	And without the driver's license, you might get arrested.
161000	163000	So no access to driving privileges, right?
163000	171000	If you work for a company, you use a badge and maybe sometimes a camera to authenticate you as an employee, right?
171000	174000	So you can have access to the premises.
174000	180000	You get into the UCI's Google space, right?
180000	183000	Google Docs and Drive space.
183000	190000	You authenticate it via a dual and password username so you can get access to those resources, et cetera, et cetera.
190000	194000	So there's always a reason for why you are being authenticated, right?
194000	199000	There is something that you are given access to if you succeed in authentication.
199000	200000	Okay.
200000	205000	So this pops up just about everywhere.
205000	214000	So, of course, as you know, there are many ways to prove that you are.
214000	215000	Say you are.
215000	218000	The most familiar ones are passwords.
218000	228000	Their demise has been predicted for the last 40 years, and yet they are still here.
228000	233000	Moreover, they show no signs of going away anytime soon.
233000	236000	An interesting parallel, email.
236000	240000	Email has been around since early 80s.
240000	243000	Pretty much the same way it is used to be.
243000	248000	Maybe the WYSIWYG changed, you know, the here and there, but the interfaces, et cetera.
248000	250000	But email is pretty much the same.
250000	254000	Same format email addresses, and every year somebody says, yeah, I guarantee it.
254000	255000	You know, it's like a doomsday.
255000	258000	You say, oh, yeah, the end of the world is coming tomorrow.
258000	259000	Just you wait.
259000	261000	And tomorrow comes, ah, you know what?
261000	262000	My clock was wrong.
262000	263000	I was like, yeah, it missed you.
263000	266000	Anyway, ah, the stars did not align.
266000	270000	So the same thing about email and password, doomsday predictions.
270000	271000	Email is still here.
271000	272000	Password is still here.
272000	274000	No signing going on.
274000	275000	Right.
275000	282000	So passwords we know, and nobody loves them, but we're used to them.
282000	285000	And then we have passphrases, right?
285000	290000	Or answers to personal questions.
290000	295000	Like, what color eyes do you like the most?
295000	300000	Or, what was the make of your first automobile?
300000	303000	Really difficult questions, right?
303000	306000	And then there are, of course, secret keys, right?
306000	307000	So we can use some secret keys.
307000	310000	If you can remember them, you can use them, right?
310000	315000	Or you can write them down, which will be a lot of fun.
315000	319000	But these are things you know, presumably.
319000	321000	Pins are, of course, another form.
321000	324000	It's a variation of the theme of passwords, right?
324000	328000	Because they're supposed to be numbers, not alphanumeric characters.
328000	332000	Then you can do authentication based on where you are.
332000	339000	So that is, if you are in some space, and you can prove you are in some space, geographical
339000	344000	location, then you must have access to something.
