start	end	text
0	5000	I don't want to share your screen before you have the flag.
5000	7000	Oh, I don't know what this is.
30000	40000	Okay, so we went through face recognition, I think, right, on fingerprints, fingerprints of issues.
40000	43000	We'll talk about a couple of examples where fingerprints fail.
43000	48000	If you know anybody who works in the medical profession, especially surgeons,
48000	55000	there were only attempts to install fingerprint recognition in hospitals that failed miserably
55000	61000	because surgeons, if you know any, wash their hands extremely frequently for good reasons,
61000	66000	and their fingers tend to be, you know, like when you keep your fingers in water for an hour,
66000	68000	they wrinkle, the fingertips wrinkle.
68000	72000	So, totally not good for fingerprint recognition.
72000	74000	Not to mention all the other stuff.
74000	83000	Iris scans. Iris scans are a relatively accurate way of biometric authentication.
83000	86000	No two irises are the same.
86000	88000	It's random.
88000	97000	Knowing anything about a person, even knowing a person's DNA, you cannot recreate the irises.
97000	99000	Stable.
99000	104000	As you grow, as you get old, they remain the same.
104000	107000	Even with cataracts or some other issues.
107000	110000	Now, if you gouge out an eye, there's no more iris.
110000	114000	You have an injury, obviously, but that's rare, right?
114000	116000	Works in with the blind people.
116000	119000	That's because they're still in irises.
119000	120000	They're different.
120000	122000	If you wonder, they're different for both of your eyes.
122000	124000	There's like a set of concentric rings.
124000	127000	So, it's actually not too different from the fingerprints.
127000	130000	There's, except the fingerprints are not exactly rings, right?
130000	133000	They're more like parabolas or something like that.
133000	139000	So, error rates are pretty low.
139000	146000	It's not the best, but I think it's one of the best biometric applications you think is currently known.
146000	148000	It is expensive, right?
148000	154000	To get accurate iris scans, you have to be very close to the device that's going to scan the iris.
154000	157000	There has to be stable lighting.
157000	159000	It's not instantaneous.
159000	162000	It takes a couple of seconds.
162000	170000	Not quite light because people generally do not like sticking their eyes and their faces into things.
170000	175000	The early ones had like a kind of a mask almost like the device where you have to stick your eyes.
175000	186000	Or something a little more evil looking where you're like goggles where you stick your eyes and go bzzzzz and scan your irises.
186000	187000	It can be done on a smartphone.
187000	192000	I believe there are apps that will do it for you.
192000	193000	I checked a year ago.
193000	194000	There were a couple of apps.
194000	195000	At least on Android.
195000	196000	I'm not sure about iPhone.
196000	204000	There are apps you can download that will essentially use your camera to do an iris scan.
204000	205000	Not as precise.
205000	206000	Not as precise.
206000	207000	Not as precise.
207000	208000	Slower.
208000	209000	Other methods.
209000	210000	Hand geometry.
210000	213000	So hand geometry is in this.
213000	216000	Your hand print.
216000	219000	All these things that fortune tellers like to use.
219000	220000	Right?
220000	223000	Life line, love line, death line, whatever.
223000	224000	Sickness line.
224000	225000	All these lines.
225000	227000	The geometry of your hand.
227000	232000	Not just the relative things but also the size of your fingers.
232000	237000	What we call phalanges are.
237000	240000	Now calluses won't matter because they're generally okay.
240000	244000	If you have severe cuts or injuries clearly it wouldn't work very well.
244000	246000	But hand geometry.
246000	248000	Relatively stable.
248000	252000	Of course as you grow, as a child grows, the hand gets larger.
252000	255000	But the actual lines remain.
255000	258000	But the size of course changes.
258000	265000	Let's see if you have some hand conditions like eczema also doesn't work well.
265000	270000	It has been used in nuclear premise control like for entering say national labs, nuclear
270000	273000	reactors, that kind of thing, nuclear plants.
273000	277000	You would just place your hand on a tablet.
277000	280000	And it would be like a surface that will do a scan.
280000	284000	Kind of like you do a document scan.
284000	286000	This continued because it was expensive.
286000	293000	And at the time did not really check for liveness.
293000	296000	Now this may sound a little morbid.
296000	301000	But liveness is important.
301000	302000	Okay.
302000	303000	Ear shape.
303000	304000	Also.
304000	305000	Ear scan.
305000	307000	Can you imagine?
307000	309000	It has some of the same issues as iris can.
309000	312000	Ears are not something you'd like to stick in places.
312000	313000	Right?
313000	317000	There in our head, next to our brain.
317000	320000	But it has been used.
320000	327000	At the bottom of the ICS2 building, the red building next to Brent Hall, across the ring,
327000	331000	there was a lab which is called K-some-day lab downstairs.
331000	333000	I think it's still there.
333000	334000	I don't know what it has.
334000	335000	It's useful.
335000	341000	But for many years, not anymore, it had a biometric scanner at the door.
341000	343000	And it was vein patterns.
343000	346000	So you would just place your wrist on the scanner.
346000	347000	Not your hand.
347000	348000	Your wrist.
348000	350000	You would scan the veins.
350000	352000	That's another method.
352000	355000	A little better than irises.
355000	360000	Generally better than hand because you don't get calluses here.
360000	361000	You don't get eczema here.
361000	363000	It's usually a little more stable.
363000	364000	One other thing.
364000	365000	Voice prints.
365000	367000	How many of you have ever seen voice prints?
367000	373000	My sibling company, I think one of my banks uses voice prints.
373000	377000	When I call them, they're like, would you answer these questions for us?
377000	378000	But they're not really looking for the answers.
378000	380000	They're looking for my voice.
380000	383000	And the questions actually aren't the same every time.
383000	388000	So it's kind of a challenge response, if you will, kind of voice prints.
388000	395000	Now to enroll, at some point, they have to ask me to stay on the phone and enroll.
395000	396000	Okay.
396000	397000	Yes?
397000	402000	Would the phone be using matter a lot for the voice prints?
402000	410000	Speech processing has seen very important advances in the last ten years.
410000	413000	So they can pretty much filter the noise.
413000	414000	Ambient noise.
414000	416000	They can filter ambient noise.
416000	421000	I mean, if somebody's screaming down your ear at the same time, they can filter out the road noise,
421000	423000	classroom noise, that kind of thing.
423000	427000	The artifacts of a metallic voice on the phone, sort of that.
427000	429000	I think there may be some issues.
429000	430000	It's not super robust.
430000	432000	I would not use it myself.
432000	438000	Because voice-based authentication is, well, fundamentally very fragile.
438000	439000	Okay?
439000	444000	And easily, it turns out, there have been studies that show that it's fakeable.
444000	445000	Okay.
445000	446000	DNA.
446000	447000	Yes, DNA.
447000	449000	So I used to have this slide.
449000	451000	I don't know why I removed it.
451000	456000	But it was sort of, you can imagine, it showed iPhone 55.
456000	463000	In 2039, Apple comes out with iPhone 55.
463000	468000	And it has this feature called Lipton Lock.
468000	475000	Immediately sequence your saliva and DNA and says, ah, it's you, I'm unlocking myself.
475000	477000	I've used it in a few talks.
477000	479000	And people actually, some people come up to me and just say, really?
479000	480000	Really?
480000	481000	I couldn't do that.
481000	482000	No, I didn't mean.
482000	487000	Now, I don't think that's coming to the store here, you, anytime soon.
487000	493000	But, in principle, DNA can be used for identification because, for identification, excuse me.
493000	496000	Because it is unique to you.
496000	498000	There's no probability of match.
498000	502000	They say, you know, if there is, it's so astronomical, it's not even worth mentioning.
502000	504000	Now, the problem is, DNA is like fingerprints.
504000	509000	If you leave them at the scene of a crime, right, that's one thing.
509000	511000	But how do you test the liveness, right?
511000	517000	So, in order to test the liveness, you have to make sure it comes from a live person right now.
517000	519000	And that's a problem.
519000	522000	Also, if you're wondering, well, can you sequence DNA?
522000	525000	Well, today, it takes minutes.
525000	527000	Even in a faster hardware.
527000	529000	So, your smartphone can do a sequencing.
529000	531000	There are attachments to the smartphone.
531000	533000	You can buy today a peripheral.
533000	536000	That will cost you probably more than the phone.
536000	538000	But it plugs into your phone.
538000	546000	And, I forget, it's not actually licking it, but you can insert like a sample of saliva or something like that.
