start	end	text
0	7320	right there's this single trusted benevolent mix that basically well
7320	14460	batches and mixes all this traffic right and of course if only one person sends
14460	20580	an email and only one person receives right it's clear who sent and who received
20580	28880	if the adversary can observe all the links that are incident to the mix right
28880	41540	that clear but anonymity loves company the more people use the mix the better
41540	48500	right so popularity is good because the more traffic more people send mail then
48500	52760	it's very difficult to map it the more difficult becomes to map incoming
52760	60080	messages into outgoing messages okay even if you have like even in the worst case
60080	64640	like a one sender right but if that one sender sends a lot of mail to different
64640	71060	recipients even then mix can help because it can mix those messages and it would
71060	75200	be difficult to see at what time did this sender send mail to this particular
75200	79640	destination okay so you still get a little bit of help even if there's only one
79640	84080	sender but of course in the real world you want mix to be heavily used by lots of
84080	86400	people
92400	101420	right so how do you reply if you send an anonymous mail message right previous
101420	108560	slide really showed you how to do that right Alice knows Bob's address Alice
108560	113000	encrypts a message for Bob obtains Bob's public key from some directory
113000	119320	right here's Alice you know she knows Bob's public key she knows that Bob's
119320	125000	existence otherwise why would she send email right so she has a secret message to send
125000	131360	it and she doesn't want anybody to observe the fact that she sent a message to Bob but
131360	137720	that's fine for one-way communication okay for example this is a whistleblower
137720	146180	reporting on some abuse but what if this is a conversation what if Bob now needs to
146180	152000	reply this doesn't solve that problem right there's no reply here because when Bob
152000	156960	receives the message he doesn't know who sent it unless Alice explicitly tells him
156960	163340	inside the message that she did but otherwise it's just a message destined for Bob from
163340	177800	someone now how does Bob reply to that someone without knowing who that someone is so
177800	184800	same idea as before right same idea Alice sends a message to Bob for the minute but now the message that
184800	193260	Alice prepares has format has some structure inside that message well there's actual text whatever she wants to send
193260	200720	but there is a preamble that has this stuff in pink all right there is that a key
200720	209760	symmetric chosen by Alice at random Alice's name in this case she doesn't mind telling him
209760	218220	I'm sorry sorry in Alice's name but it only cryptic under the public key of a mix so
218220	228180	actually Bob won't find out who Alice is in this case now if you your eyesight is good you will see if it says
228180	238140	it says mix try because Alice for the return correspondence for return email could choose a different mix
238140	248420	doesn't have to be the same mix that she used on the way to Bob okay same idea but this she may choose a different
248420	262380	right right and then k2 okay and k2 is a fresh public key okay and sorry k1 is a fresh public key and mix mix
262380	274380	and he says prime is possibly different doesn't have to be the same thing
274380	280920	so now how does uh how does Bob reply so the first message follows that first blue
280920	286980	arrow second blue arrow just like in a previous slide the same thing the mix does the same thing
286980	291540	I mean of course I don't show you other people who send mail right so of course you assume there's other
291540	297300	people so but I'm just focusing on the communication between Alice and Bob so that's the message as
297300	305760	before what's what makes sense to Bob is uh pretty much the same thing except Bob now knows that inside
305760	319740	m there is that magenta part mk2 okay and so the reply message from Bob that has a different format
319740	325500	it doesn't have the same format okay it's not it doesn't have the same format as the original
325500	335740	initial message from Alice the reply message has two parts the pink part and that's taken verbatim from
335740	345340	inside the message and the black part which is a you know the m prime that that message that that bob wants to
345340	352220	reply to ask right he wants to say something back and that message doesn't need to have any structure
353420	360140	it's just a message i'm proud and all that is encrypted on the k2 that's a public key
360140	368220	so far so good
373180	379020	so the mix knowing that this is the return message it treats returning messages or reply messages
379020	384780	differently from the forward going messages right he knows that this message has two parts
384780	391420	so what it does it decrypts this pink part right because it's encrypted with its public key
392540	396940	and inside the pink part he sees a and a key k1
399340	403980	and what he does and he does what he's instructed to do which means he takes
405180	410940	k1 and takes r2 m prime the black part over there encrypts it with k1
410940	418460	k1 is a symmetric key k2 is a public key okay so this is a symmetric encryption
419260	423340	and addresses this to a so this a is visible in the clear text
427580	428140	make sense
430300	436060	so a gets it a knows k1 because she generated it originally
436060	445180	okay okay she will decrypt the outer encryption and then because she also generated k2 right
445180	450540	she knows the corresponding private key to decrypt this encryption so she will obtain him
454060	464140	so what is this here right this is an anonymous two-way channel between alice and bob alice knows
464140	467980	who bob is right somebody needs to know this in the beginning
469580	474380	otherwise what's the point of communication but bob does not know who alice is
477500	481020	just he knows it's someone but he doesn't know who
484300	489100	so what is this good for well you know many types of interactions right
489100	497100	like uh whistleblowing right it's also great for confession
499180	504780	you want to make an anonymous confession kind of like certain religions allow you to go to a
505420	513020	temple church and anonymously right go into a booth you've seen it in the movies and you have done
513020	519820	yourself you go into a booth and there's a partition it's a dark little booth and you sit on a little
519820	528300	leg there's a partition there's a mesh you know there's a person on the other side you can see the
528300	534540	silhouette maybe but you don't know who they are and that person more importantly does not know who you
534540	539900	are but generally they confess the person making the confession knows that it's a priest
540700	547900	or some kind of other religious character right because when you go to church and make a confession
547900	553420	generally not who the priests are in the church but the priest does not know who you are right
554380	557020	ideally in the physical world
559580	564460	not likely they probably know because you know they can open the door after confession see who walks out
564460	571580	or they can recognize the person by voice right or by what they're confessing okay so but in the physical
571580	579020	world we know how this works right so this is can be done much better in this world alice says i want to
579020	588380	send a confession to bob bob is a religious character person who like a cleric she confesses her sins and
588380	595340	she gets enough solutions back and bob learns nothing about alice other than her sins
597900	602380	nope not compelling to all i'm sure there are other applications you can think about
603500	605180	okay any questions
607580	615820	fine now why would you want to rely on one mix one mix is nice because you're just wild you don't need to
615820	620620	you know create any kind of big infrastructure you just dedicate a huge computing power
621180	627100	and storage power to this giant mix and you presume that some benevolent entity runs it and it can never
627100	633660	be hacked because boy if it can be hacked you know bad things will happen but what if you didn't want to
633660	639900	rely on one single point of failure because the other problem is that if the mix just like goes down
639900	648140	or subject to a massive denial of service attack well then the buy anonymous mail uh but more importantly
648140	656220	it's difficult to find one entity one organization that will run a global mix so for that reason one
656780	661820	what child that same character that designed this thing and back in the early 80s suggested using what's
661820	667340	called a mixed cascade or a mixed network this is basically what the word suggests right it's just
667340	675420	a sequence of mixes and generally operated by different entities like one operated by an electronic
675420	683420	frontiers foundation one by aclu one by you know uh say the whales and one by you know icelandic whale
683420	688780	hunters i don't know and whatever whatever whatever so mutually like suspicious entities but they're all
688780	694620	interested in operating at least one of those so you can imagine them sending your messages through not
694620	703500	one but one but several okay one immediate benefit is that that first mix is compromised or controlled
703500	712860	by the adversary you're still okay because the second mix is now in fact even if both here the first and
712860	718060	the last are controlled by the adversary you're still okay because the middle mix is not controlled by the
