start	end	text
0	7000	It's the MCM syndrome that I recommend, it's, you know, tells you everything you want to know about spam.
7000	13000	And surprisingly, 20 years, not many things change about spam.
13000	20000	But, so why the parallel? Well, spam is annoying, right? This spam.
20000	26000	And so is the email spam or electronic spam. So that's where the analogy comes from.
26000	33000	I do some stats. I didn't, like, double check them, but I think they're reasonably accurate.
33000	38000	So, number of, like, email versus spam, right?
38000	42000	So you see the bars, the total bars represent total email spam.
42000	48000	The red part is the percentage of spam. I'm sorry. Total email, percentage of spam.
48000	55000	From this six-year period, ending in 2022, my guess is it hasn't changed very much.
55000	62000	It probably continued along the same line up to 20, 25.
62000	68000	Interestingly, more spam was sent as a percentage of all emails, like, six years ago.
68000	72000	And then it kind of sort of levels off, you know, right?
72000	78000	But it's still impressive, right? If you haven't seen this, it is impressive.
78000	84000	Email is still, right? Maybe not so much, you think, for your generation because you've never really worked outside.
84000	87000	Or many of you haven't really worked in real jobs.
87000	95000	But once you get a real job, yes, people use Slack and, you know, some other versions thereof and wikis and God knows what else.
95000	99000	But email is still there and it has no signs of going away.
99000	103000	So I predict email is not going to go away for at least a decade.
103000	106000	It's for the time it is here to stay.
106000	114000	So, an enlarged percentage of it is spam.
114000	117000	Spam is not only email-based.
117000	121000	You may have received robocalls, right? That's spam.
121000	124000	That's just another version of spam.
124000	127000	Text messages? Yes? Text?
127000	129000	A lot of SMS.
129000	131000	Sometimes WhatsApp, right?
131000	134000	Well, I get WhatsApp spam.
134000	136000	Not a lot, but I get it.
136000	138000	Like, once every couple of weeks.
138000	142000	SMS, I get once every couple of days.
142000	148000	Some of these I don't see because it's already, like, filtered.
148000	156000	Never have I ever received spam on Signal.
156000	158000	Anybody use Signal?
158000	160000	Highly recommended.
160000	162000	For secure messaging.
162000	163000	Okay?
163000	166000	If you want to be secure, do not use Telegram.
166000	168000	That's slimy through and through.
168000	169000	Okay?
169000	170000	Do not.
170000	173000	Unless you want the FBI to knock on your door.
173000	174000	No, seriously.
174000	176000	Do not use Telegram.
176000	177000	SMS.
177000	179000	Just assume everybody reads it.
179000	180000	Okay?
180000	182000	Just assume that it's not private.
182000	183000	WhatsApp?
183000	184000	Eh...
184000	185000	Meta.
185000	186000	Do you trust Mark?
186000	187000	Exactly.
187000	190000	Have you looked at him?
190000	192000	I don't trust Mark.
192000	193000	Signal.
193000	195000	Public domain.
195000	196000	Okay.
196000	199000	So, you can look at the code.
199000	200000	Eh...
200000	203000	I trust Signal more than others.
203000	206000	Not that I trust it, but I trust that I did more than others.
206000	211000	So, if I had to, like, send something securely today, I would do Signal, I might actually split
211000	216000	the message in two parts and send something by a signal and something by WhatsApp.
216000	218000	Are you getting what I'm saying?
218000	219000	Right?
219000	220000	Okay.
220000	221000	Yeah?
221000	222000	But I message is distinct, right?
222000	223000	Right?
223000	227000	I message is distinct, but I message is like a stupid overlay.
227000	228000	Right?
228000	234000	So, I message works for Macs and iPhones.
234000	235000	What about the rest of it?
235000	240000	It's a stupid walled garden religion that Apple imposed on us.
240000	241000	Right?
241000	248000	So, yes, iMessage, if you live entirely within Apple universe, iMessage is okay.
248000	256000	But the problem is, many of us, maybe not you all, but many of us people who use Apple
256000	260000	products communicate with non-Apple users.
260000	267000	And you don't often pay attention or know that your text message isn't an iMessage, but
267000	269000	goes out of the Apple universe.
269000	275000	And the moment it goes out of the Apple universe, it no longer has that security.
275000	282000	So, and then, so text messages and messaging apps, you know, have a lot that can present.
282000	285000	Phone calls, yeah?
285000	291000	If your phone number is somewhere, chances are, you know, you will get text spam.
291000	296000	I'm sorry, phone spam by robocalls, sometimes by live people, but that's, that's like not
296000	297000	really spam.
297000	298000	I mean, it's annoying.
298000	307000	And then email is, uh, the lion's share of, of spam is 50% or so.
307000	310000	So, this is a disturbing thing.
310000	314000	So this is, a graph is kind of hard to read.
314000	316000	Uh, so look at the red part.
316000	319000	It just claims, again, I didn't double verify it.
319000	323000	It seems reasonably credible.
323000	332000	Number of people who lost money due to like scams, spam based scams.
332000	338000	So we're talking here from under 20 million in 2014, all the way to what?
338000	341000	close to 60 million in 2024.
341000	346000	Now, I believe that this is cumulative.
346000	350000	So it's not like 2024, 60 million lost.
350000	356000	It's all these other accumulated stuff that, by 2024, 60 million lost money.
356000	361000	I think that it's not, I don't believe this is a discreet per year.
361000	364000	Although there's a dip here, but I don't, I don't.
364000	366000	There's a dip here, but I don't believe it.
366000	368000	They recovered their money.
368000	369000	Some probably did.
369000	371000	I would say very small percentage.
371000	372000	Very small.
372000	379000	What looks more is, uh, credible is, uh, the yellow part of the graph that shows the average,
379000	381000	uh, money per person lost.
381000	388000	You know, and these, uh, when it, when this talks about, uh, scam calls, it talks about also
388000	389000	email, right?
389000	390000	So it includes email.
390000	395000	So things like, oh, you know, we, here's a bill for, I don't know, Norton defender.
395000	400000	Or here's a thank you for your purchase of Adobe creative cloud.
400000	401000	Right.
401000	402000	You've seen those emails, right?
402000	407000	They say, and here's the bill, or we charged your card or something like that.
407000	408000	Right.
408000	409000	And you call the number.
409000	416000	Somebody does, maybe a relative or a friend, and, uh, they give up their password because
416000	417000	they're tricked.
417000	419000	They lose the money.
419000	424000	Typically these types of scams do not result in like emptying of bank accounts because banks
424000	429000	often have some safeguards in place, but, uh, people do lose money and no longer.
429000	434000	Uh, subjects.
434000	436000	What kind of subjects?
436000	439000	Well, it's no longer like Nigerian princes, right?
439000	440000	Right.
440000	444000	Or Malaysian, uh, multi-billionaires, right?
444000	449000	Who want to share their immense wealth, uh, with you.
449000	450000	Right.
450000	454000	Only if you provide a small amount of information on your bank account where they need to transfer.
454000	459000	Uh, but you've got prizes and giveaway job opportunities and banking, right?
459000	465000	The banking spams are typically the ones you've seen where, uh, we identify the problem with
465000	466000	your account.
466000	469000	Please immediately call this number.
469000	475000	Or please click on this link to confirm, uh, your data, right?
475000	477000	Or change your password.
477000	478000	Okay.
478000	482000	Um, and this goes, actually, that's a separate category.
482000	484000	Request to change your password after your account.
484000	486000	Then software download, right?
486000	491000	I mean, uh, you have, we have a new release of, uh, an XYZ package.
491000	494000	Uh, we see you're using it and enjoying it.
494000	500000	Please download the free, uh, the next beautiful version of that package.
500000	501000	Oh, my gambling.
501000	502000	Haven't seen that much.
502000	504000	I'm surprised it's 20%.
504000	505000	Adult content.
505000	509000	That used to be a lot more, a lot more.
509000	516000	Like 10 years ago, I would say half of the spam was porn or porn related.
516000	518000	Now it's, it's down.
518000	522000	There's probably a good, like social science explanation.
522000	523000	Cryptocurrency scams.
523000	524000	Are they out there?
524000	526000	Not a huge amount, but they're out there.
526000	527000	I see, I see spam.
527000	530000	I see spam with cryptocurrency.
530000	537000	Uh, especially, these are especially on WhatsApp and text.
537000	539000	Not so much by email.
539000	541000	And then all kinds of stuff.
541000	544000	Pharmaceuticals also used to be a huge thing, right?
544000	545000	Huge.
545000	547000	Uh, like 15 years ago.
547000	549000	Pharmaceuticals scams.
549000	550000	The usual.
550000	556000	Viagra, Cialis, boldness cures, weight loss.
556000	564000	Between those three, like lose weight fast, performance, sexual performance enhancements,
564000	566000	and hair.
566000	567000	Sometimes it was loose hair.
567000	568000	Yeah.
568000	569000	Usually it was like regrow hair fast, right?
569000	570000	So these three dominated.
570000	571000	Now they're very small.
571000	572000	I'm surprised.
572000	573000	And then, uh, okay.
573000	574000	Romance scams.
574000	575000	That's more like, that's a niche.
575000	576000	That's not in this country so much.
576000	577000	That's, that's outside.
577000	578000	And now let's not confuse the dating app scams, right?
578000	579000	That's a whole different.
579000	580000	I'm not, I'm ruling those out here.
580000	597000	You know, these dating apps where they have bots and, uh, uh, that's a whole different
597000	598000	Okay.
598000	603000	Uh, here's some more numbers for you.
603000	607000	About 160 billion spam emails are sending it.
607000	608000	Billion!
608000	609000	Billion, right?
609000	610000	This price.
610000	611000	We have what?
611000	612000	4 billion people?
612000	613000	5 billion people on this earth?
613000	616000	There's not many emails are sent every freaking day.
616000	623000	Um, and that's good part of the 350 billion emails overall set.
623000	627000	Uh, most people receive spam messages.
627000	631000	The problem is what, so how does spam work?
631000	636000	Uh, how, how do spammers harvest email addresses?
636000	639000	Well, the most obvious like they crawl, right?
639000	643000	They crawl the web and they look for email addresses.
643000	648000	And all these tricks that people used to do and still do with like, uh, you know, not
648000	652000	using the add sign, but say add or something, right?
652000	655000	Or, oh, it's my name at blah, blah, blah.
655000	660000	Those don't work because these, these crawlers can convert us into email address.
660000	663000	Sometimes the email address is a guest.
663000	669000	Like smith at yahoo.com is going to be an email address, right?
669000	671000	Joey at yahoo.com.
671000	675000	Uh, you know, uh, Gene Sudik at gmail.com.
675000	677000	Well, you need to know my last name, right?
677000	682000	But, but you know, more predictable last names and first names, any combinations that are
682000	683000	going to be existing email.
683000	685000	No, it doesn't take a rocket scientist.
685000	689000	Most of the spam of actual people who send spam don't do the crawling.
689000	696000	Crawling is done by whole other people system that then sells this harvested spam addresses
696000	697000	to the spam, right?
697000	698000	To the actual spam.
698000	700000	Also, they filter them.
700000	703000	So when they collect them, they actually test that they exist.
703000	704000	Right?
704000	708000	So you get this, what's called data clean in the database world.
708000	714000	So they clean the data and then they sell the giant, uh, collections of databases of existing,
714000	717000	uh, email addresses to those who actually want to send spam.
717000	725000	Uh, maybe it will surprise you that the US sends the most spam.
725000	729000	There is most spam originates inside the US.
729000	734000	It may have actually been crafted somewhere else, but the, the sender from the email point
734000	737000	of view is here in the United States.
737000	738000	Followed by China.
738000	741000	Uh, let's see.
741000	742000	Okay.
742000	744000	The rest of them are important.
744000	749000	Uh, financial.
749000	754000	Now, now this is some, because I was hoping we would have a lecture on phishing.
754000	758000	I'm not sure if we, at the speed we're going to have that.
758000	762000	Phishing and spam are like fraternal twins.
762000	763000	Okay.
763000	767000	Now, spam can be without phishing.
767000	772000	And if I draw a Venn diagram, there will be a giant overlap.
772000	774000	You know, everybody knows a Venn diagram, right?
774000	778000	Between spam and phishing, but they have distinct parts.
778000	783000	So, spam is a vehicle for phishing.
783000	784000	Often.
784000	785000	Not always.
785000	791000	Spam can be also selling, I don't know, pharmaceuticals, right?
791000	793000	Is that phishing?
793000	794000	No.
794000	799000	A lot of that stuff is like you want to buy, uh, Adderall.
799000	802000	Maybe because it's without prescription.
802000	805000	It may be illegal for you to do so.
805000	811000	But if you go to the website and enter your credit card, they won't steal it.
811000	814000	They will ship you Adderall, maybe.
814000	819000	Or if you want to, uh, I don't know, buy something else, right?
819000	821000	I mean, uh, a walk, what is it?
821000	822000	The typical one?
822000	823000	A walk-in bathtub.
823000	825000	Everybody knows what that is?
825000	829000	For some reason, there was a favorite subject of spam for a while.
829000	832000	That's for old people or people who are handicapped.
832000	838000	A walk-in bathtub is a bathtub that has a door that you don't have to, like, step in.
838000	839000	Yes?
839000	840000	You've seen those?
840000	841000	Ever?
841000	842000	No?
842000	843000	Ever seen spam on that?
843000	845000	Very popular stuff for a long time.
845000	850000	So, surely there is a walk-in bathtub you can buy, probably overpriced.
850000	851000	Okay?
851000	853000	So it's not phishing.
853000	855000	It's just selling crap.
855000	859000	It's the same idea that you get in the mailbox, right?
859000	863000	You get these useless things, if you ever check, like, actual mail, physical mail.
863000	867000	You get these useless advertisements, right, for stuff that you don't need most of the time.
867000	872000	A sail in some, you know, Nordstrom's rack or whatever.
872000	874000	That's physical spam.
874000	882000	And, you know, a walk-in bathtub or, I don't know, cheap solar batteries installed in three minutes.
882000	884000	That's also that kind of spam.
884000	885000	It's not phishing.
885000	890000	Phishing is what they want to extract something from you that is, like, very personal.
890000	891000	Like, credentials.
891000	892000	Right?
892000	893000	Okay.
893000	894000	Blah, blah, blah, blah, blah.
894000	895000	Oh, yeah.
895000	896000	Delivery services.
896000	897000	We have a package for you, right?
897000	898000	This is typical via text, right?
898000	899000	Typically SMS, right?
899000	901000	Because a lot of the delivery services, FedEx, DHL, right?
901000	902000	Amazon, right?
902000	903000	They use SMS.
903000	904000	Many do.
904000	911000	And so you get this unsolicited text from some special, like a four-six-digit number, right?
911000	913000	That's not really typically a real phone number.
913000	914000	And it says, we have a delivery.
914000	915000	It's waiting for you.
915000	916000	We just need you to confirm your credit card.
916000	917000	Details.
917000	918000	Maybe you won't find that surprising.
918000	923680	Men 65 and over received the most spam calls.
923680	924680	No.
924680	925680	No.
925680	926680	Not.
926680	927680	No.
927680	928680	No.
928680	929680	No.
929680	930680	No.
930680	931680	No, no.
931680	933680	No.
933680	934680	No, I'm not.
934680	936680	All right, I'm sorry.
936680	937680	Very.
937680	938680	Holy shit.
938680	939680	Oh.
939680	940680	No.
940680	941680	No.
941680	942680	No, no.
942680	950760	and men 18 to 34 the less the least
950760	957500	any explanation when you might think that's so
957500	965780	what happens at 65? usual retirement right?
965780	971160	yes but retirement right? so you have
971160	974400	idleness right? so you're a working man
974400	978160	you're a working person you don't have time to talk to spammers
978160	982080	right? or follow up on some email
982080	985240	you just ignore whatever you're retired
985240	987080	now all of a sudden you have a lot of time on your head
987080	991040	you're bored and you have money
991040	995720	yeah? you have money you save money you work all your life or whatever
995720	1001720	65 not that long maybe but so these are the most ripe
1001720	1004780	the most ripe soil for spammers
1004780	1009360	people with disposable income who are idle and bored
1009360	1015960	these people I mean crypto millionaires aside
1015960	1019360	right? these people have no money
1019360	1022360	and they have the attention span of a food flight
1022360	1028360	right? not a good target for spammers
1028360	1031420	these people also remember these are like boomers
1031420	1034420	here 65 and over are boomers
1034420	1037360	different generation more perhaps more trusting
1037360	1040360	a little more serious you know
1040360	1046360	these people roughly your age
1046360	1049420	I mean these are men mind you but I think women get fewer
1049420	1053420	but I don't know how to explain that
1053420	1055360	list not obvious questions
1055360	1057360	alright let's switch into something a little more technical
1057360	1065360	so email have you ever wondered what your email does when it leaves your hands when you click send?
1065360	1072420	was that covered in any networking courses? yes?
1072420	1074420	not here
1074420	1075420	thank you
1075420	1077420	not here
1077420	1078420	where?
1078420	1079420	I want to go there
1079420	1085420	yes I suppose it wasn't covered in networking courses here unfortunately
1085420	1087420	which it should be
1087420	1089420	so you are the sender
1089420	1091420	you have your
1091420	1095480	are you all like browser email users?
1095480	1098480	who is a non-browser email user?
1098480	1101480	anybody use an email front-end?
1101480	1103480	like an email program?
1103480	1104420	no
1104420	1105420	wow
1105420	1107480	sign of the times
1107480	1108540	okay
1108540	1112540	it's a little different in your case
1112540	1113540	because
1113540	1117540	you are essentially using a front-end
1117540	1119540	kind of a fake front-end
1119540	1121540	your client browser
1121540	1123540	to access your gmail
1123540	1124540	right?
1124540	1126540	anybody here non-gmail?
1126540	1132540	you seem almost hesitant
1132540	1135540	look at this monoculture
1135540	1137600	you are all gmail users
1137600	1140600	is that because UCI dictates it?
1140600	1143600	do you have any other non-gmail accounts?
1143600	1144600	yeah
1144600	1145600	yeah
1145600	1146600	okay
1146600	1150600	but you use the browser as well to access those
1150600	1152600	interesting
1152600	1155600	well I don't think the browser on mobile devices
1155600	1156600	no
1156600	1163600	on the mobile devices I guess you use your mail app right?
1163600	1165660	well that's essentially the same thing right?
1165660	1167660	everybody uses like an API phone
1167660	1168660	well no
1168660	1169660	that's a different thing
1169660	1170660	okay
1170660	1171660	so let's think about your mail app
1171660	1172660	like
1172660	1175660	do people use mail on phones?
1175660	1177660	do you all use mail on phones?
1177660	1178660	like that?
1178660	1179660	okay
1179660	1180660	so you have an app
1180660	1181660	right?
1181660	1182660	good
1182660	1183660	so now we can connect better
1183660	1185660	you click send
1185660	1186660	your app is that
1186660	1187660	is that box over here
1187660	1188660	right?
1188660	1189660	that's your app over there
1189660	1190660	in that box
1190660	1193720	it's a computer but it's really like in this case be your phone
1193720	1194720	and so it's a client
1194720	1196720	it's an email client
1196720	1197720	and
1197720	1199720	when you configured it
1199720	1201720	you had to put some stuff in there
1201720	1203720	do you remember?
1203720	1206720	like you have to say what is your outgoing server?
1206720	1208720	Nicole doing that?
1208720	1209720	no Nicole
1209720	1211720	oh they give you a profile?
1211720	1213720	it's just one of your most login
1213720	1218780	oh my god
1218780	1219780	oh my god
1219780	1220780	okay
1220780	1221780	so
1221780	1223780	with google
1223780	1224780	even if you are using gmail
1224780	1225780	with a client
1225780	1226780	it goes to
1226780	1227780	something called
1227780	1229780	smtp.something.something
1229780	1230780	which in this case
1230780	1233780	will be smtp.google.gmail
1233780	1234780	blah blah blah
1234780	1236780	and that's your relay
1236780	1238780	relay
1238780	1246840	now if your destination is in google world
1246840	1251840	that same mail relay is going to deliver it to the recipient
1251840	1253840	so you won't have this stage
1253840	1255840	this mail relay
1255840	1256840	if it's google
1256840	1258840	and your destination if you have it is google
1258840	1262840	it will just hand over to the recipient
1262840	1264840	actually it won't handle it
1264840	1266840	technically it just stores it
1266840	1272900	that some people either pop or imap server
1272900	1274900	but that's not interesting
1274900	1276900	but generally if you send email to some
1276900	1278900	let's say you have a friend in
1278900	1281900	I don't know American Samoa
1281900	1284900	and you send an email and they have an address with like
1284900	1286900	ending with S
1286900	1290900	I guess it would be ASA or something like that
1290900	1295900	it will be given to the mail relay
1295900	1299900	which is the outgoing server
1299900	1301900	and that server will figure out
1301900	1305900	what is the recipient's mail relay
1305900	1307900	okay
1307900	1310900	and it will hand over over the internet
1310900	1313900	generally this can actually be over the internet
1313900	1315900	and it will hand over the mail
1315900	1319900	and then it will get to the recipient
1319900	1321900	but that's a funny detail here
1321900	1323900	the recipient may have a separate server
1323900	1325900	where the mail is stored
1325900	1329900	that's usually what's called POP3 or IMAP
1329900	1331900	depending on how you configure it
1331900	1333900	mailbox
1333900	1334900	okay
1334900	1337900	so you actually fetch email from there
1337900	1339900	when you refresh
1339900	1341900	all right
1341900	1344900	but the important thing is to understand
1344900	1346900	is that this is not real time communication
1346900	1349900	remember I kept saying that email is stored forward
1349900	1351900	so like
1351900	1353900	if for example
1353900	1355900	this mail relay is down
1355900	1359900	this one will buffer your mail
1359900	1363900	you might even try a different mail relay
1363900	1369900	so that means it's kind of tolerant of delays
1369900	1371900	and failures
1371900	1373900	TCP is not right
1373900	1375900	so this is
1375900	1377900	if this was end to end TCP
1377900	1379900	it wouldn't work
1379900	1381900	but with mail relays because they are running
1381900	1383900	application layer right
1383900	1385900	yeah
1385900	1387900	setting up your own mail relay
1387900	1389900	you could in principle do that
1389900	1391900	you would have to get your own domain
1391900	1393900	probably for that
1393900	1395900	you can get a domain
1395900	1397900	you can buy one
1397900	1399900	you can set up your own mail relay
1399900	1401900	you can right now
1401900	1403900	let's say you are
1403900	1405900	you live in Irvine here
1405900	1407900	you are sort of stuck with COX
1407900	1409900	internet
1409900	1411900	you cannot set up your own mail relay
1411900	1413900	at least not easily
1413900	1415900	right
1415900	1417900	but if you buy your own domain
1417900	1419900	then you can
1419900	1421900	well I was saying
1421900	1423900	so if you set it up right
1423900	1425900	and then you are up to your own Gmail
1425900	1427900	and you are trying to send
1427900	1429900	if you set up your own mail relay
1429900	1431900	then it's a front end
1431900	1433900	so when you send mail
1433900	1435900	you would go for that relay
1435900	1437900	and then to Gmail
1437900	1439900	but if you are using the browser
1439900	1441900	it will still go directly to Google
1441900	1443900	your mail
1443900	1445900	your mail really will be irrelevant
1445900	1447900	you see because when you are using a browser
1447900	1449900	you are not using
1449900	1451900	you are not using the actual email
1451900	1453900	you are using like an interface
1453900	1455900	through the email
1455900	1457900	so it's like a storage forward component
1457900	1459900	can you like do a denial of service attack on the storage forward
1459900	1461900	like I assume there is only a limited amount of memory
1461900	1465900	generally mail relays have a lot of disk space
1465900	1467900	they don't keep those things in memory
1467900	1469900	they only keep them when they
1469900	1471900	if they try to send
1471900	1472900	if they cannot send
1472900	1473900	if the send does not succeed
1473900	1475900	they buffer on this
1475900	1477900	but you could presumably do like a malicious attack
1477900	1479900	you could make
1479900	1481900	but that will still
1481900	1483900	there is a limited amount of time
