start	end	text
0	5000	that means we want to have both timeliness and freshness of our IP packets.
5000	10000	Of course, we're also equally interested in protecting integrity of data.
10000	17000	And make sure that the data in the payload, the data in the packet has not been modified in transit.
17000	23000	We want to sometimes protect confidentiality of the data, not always.
23000	28000	Just like in SSL, there's always, like remember there's an option not to use encryption,
28000	33000	you use null encryption, while in IPsec there are options also not to use encryption.
33000	41000	But authenticity, authenticity of origin and data integrity are mandatory.
41000	50000	Meaning you don't want to use IPsec without authenticity of origin and data integrity.
50000	54000	That's the minimum thing IPsec does.
54000	58000	In addition to that, you can protect what's called packet metadata.
58000	60000	That is to protect against eavesdropping.
60000	65000	So the typical example is that you have, let's say, two branches of the same company.
65000	69000	Let's say you have an East Coast branch and West Coast branch.
69000	75000	And inside each branch there's a private network, interconnected lands, all kinds of stuff.
75000	79000	All kinds of like departments have their own arrangement on the West Coast.
79000	82000	There's something like that, and on the East Coast, right?
82000	83000	And how do they communicate?
83000	91000	Well, normally, you know, IP posts on one on the East Coast, also IP posts on the West Coast.
91000	97000	And notice that if you eavesdrop on these packets in the middle of the Internet or outside these organizations,
97000	101000	you will know who is talking to whom, right?
101000	106000	So that's information that can be valuable, right?
106000	114000	Because you're also learning the internal structure of the private network, okay?
114000	119000	It exposes addresses within the private network, both source and destination.
119000	126000	So what IPsec allows you to do in a certain mode of operation is to encapsulate such packets
126000	134000	and hide the internal source of this connection so that anyone listening and eavesdropping on IP packets
134000	141000	anywhere in the middle of the Internet wilderness will only see that these packets go from
141000	142000	right?
142000	151000	Company A East Coast branch and Company B West Coast branch, but will not know anything beyond that, okay?
151000	152000	This is very important.
152000	160000	This protects against what's called traffic analysis.
160000	165000	So the general model is like this, right?
165000	177000	The IPsec assumes that hosts and gateways, right, or border routers, are secure themselves.
177000	181000	It doesn't make any assumptions about software security, operating system security, etc.
181000	189000	But it assumes that hosts can be secured and gateways, but the communication lines themselves are insecure.
189000	190000	Right?
190000	195000	Whether they're wired, wireless, whatever medium you use, they are insecure.
195000	203000	Insecure means eavesdropping, insecure means active attacks, like deletion, insertion, manipulation,
203000	206000	delaying, reordering, etc.
206000	208000	Okay?
208000	217000	Now, we will not cover the entirety of the security model.
217000	222000	And the reason is because it's very complex and it's very abstruse.
222000	227000	And yes, if one deals with IPsec, one should know everything.
227000	231000	But I'm going to give you again just kind of an appetizer for IPsec.
231000	234000	And I'm going to talk mainly about IPsec formats and options.
234000	247000	But there is something called Ike, called Internet PHTH, which is a basically, think of that as a control, remember the control channel in SSLTLS?
247000	252000	The one that establishes security, you know, the handshakes and everything?
252000	255000	That's what Ike does.
255000	256000	Okay?
256000	262000	But unlike SSLTLS, where everything is put together in one protocol, right?
262000	269000	I cannot tell you about SSLTLS packets or record formats without describing the handshake, right?
269000	274000	Whereas an IPsec, I can't, and Ike is a separate component.
274000	275000	Okay?
275000	291000	So, what it does is that it is a protocol, or a set of protocols actually, that establish key material, cryptographic shared keys, between pairs of communicating IP addresses.
291000	292000	Okay?
292000	295000	So, we will not talk much about this.
295000	308000	Ike, in turn, works together with something called security policy, which is an organizationalist, something that every organization that uses IPsec should ideally maintain.
308000	311000	It's not mandatory, but it needs to be maintained, generally.
311000	320000	And security policy is basically telling you what IPsec to use, what type of IPsec to use, where.
320000	325000	So, think about, like, you're trying to communicate within your organization.
325000	332000	You work for ABC Incorporated, and you are in your branch office, you're working in a particular office, you have your private network,
332000	338000	and you're trying to establish a connection, let's say, to a nearby post, right, inside.
338000	343000	And it might look at your packets and say, oh, this is inside, no IPsec required.
343000	352000	But as you are trying to maybe communicate, let's say, to a social network outside, it might say, for example, no.
352000	355000	Which means, not allowed, period.
355000	357000	IPsec, IPsec, not allowed.
357000	358000	Okay?
358000	360000	See, Facebook, there's no way.
360000	365000	Or it might see something like Gmail, right?
365000	366000	You're going to Gmail, right?
366000	367000	You're going to Gmail.
367000	372000	It might say, oh, if you're talking to Google, then you have to use IPsec in this mode, this
372000	373000	specific mode.
373000	376000	And I'll show you examples of what that means.
