start	end	text
0	4400	And I was about to go into this, so why people do this, all these things.
4400	6600	Actually, first, any questions?
6600	10400	Is there anything related to this course?
10400	11600	Okay.
11600	14400	So why do people do it? Because there's a lot of money in it.
14400	16300	Not everybody does it for money.
16300	19000	People do all kinds of things for ideology.
19000	24500	Or just, as I said earlier, destructive tendencies.
24500	26800	Let the world burn, kind of philosophy.
26800	30800	Anarchy, people do all kinds of things, not for money.
30800	34800	But, let's do it again.
34800	44800	Money is a big deal, and there's a lot of money to be made doing things like selling bug bottles.
44800	55800	That is, finding unknown exploits, bugs, backdoors, and selling them.
55800	57800	Officially, this is perfectly fine, right?
57800	67800	Selling them to the hardware manufacturers that develop the hardware or software where the bugs are.
67800	71800	Some serious money can be made.
71800	77800	There are companies out there that do this, there are individuals that specialize in this.
77800	79800	And that's perfectly legitimate.
79800	89800	There are also brokers that will buy a bug from you, or a vulnerability.
89800	92800	If you find one, they will buy it from you, and they will market it.
92800	104800	So, they act as intermediaries between those who find vulnerabilities and the companies that will, in whose software hardware vulnerabilities are found.
104800	107800	Then there is the shady part, right?
107800	108800	The shady part is here.
108800	121800	Yeah, there's kind of gray market, black market entities that will buy this, and often will pay more than, let's say, your Google's and Meta's, et cetera.
121800	126800	Especially, you know, some serious zero-day exploits.
126800	133800	Serious buying can be made, but that's most likely, in most jurisdictions, illegal.
133800	147800	Like I said, there are companies, there are other individuals, there are companies that do this, and there are other buyers.
147800	149800	There are nation states that buy.
149800	155800	The United States is definitely one of them, but the typical players are Israel, Britain, Russia, India, Brazil.
155800	159800	And there are many others that will buy these things.
159800	167800	Why? Because, well, a lot of nation states are involved in offensive cyber warfare.
167800	169800	Okay?
169800	172800	Not surprising.
172800	175800	Then there's also stolen data.
175800	187800	So, let's separate very clearly the bugs, exploits, backdoors, vulnerabilities, from stolen data.
187800	193800	What I thought before was sort of the white zone, the gray zone, the black zone.
193800	195800	Here, everything is black.
195800	197800	Here is all illegal.
197800	200800	This is strictly crime.
200800	201800	Okay?
201800	209800	So, there's a big marketplace for stolen data, starting with valid credit card numbers,
209800	221800	actual credit card numbers, accompanied by, you know, the cards that still have magnetic stripe, right?
221800	229800	Typically, the chips cannot be cloned, except maybe by some nation states.
229800	231800	But the magnetic stripe can be.
231800	232800	Okay?
232800	241800	So, if you have both the credit card number and the magnetic stripe information, that's a bit more,
241800	245800	because that can be cloned, right?
245800	255800	So, with the credit card number, and the three-digit code in exploration, you can buy stuff over the web.
255800	257800	So, there's a card note present.
257800	258800	It's called card note present.
258800	261800	But if you do something, if you don't buy something with a card present,
261800	265800	then you need to have the magnetic stripe, a card with magnetic stripe.
265800	271800	You have to have a merchant that still allows you to use the magnetic stripe, which is easy to find.
271800	276800	So, what it means is you need to manufacture it hard.
276800	281800	Now, machines that manufacture plastic credit cards, trivial.
281800	283800	You can buy one.
283800	285800	It's not illegal.
285800	290800	And then, they will imprint, emboss the magnetic stripe here.
290800	292800	So, that's all.
292800	294800	You will actually have a physical credit card.
294800	296800	You won't have the chip, clearly.
296800	299800	But you'll still have the magnetic stripe.
299800	304800	Fools is like a dossier.
304800	306800	A whole dossier on a given person.
306800	308800	A real person, right?
308800	317800	So, that includes things like name, address, phone, email, date of birth, social security number, bank account, routing numbers, online credentials, credit cards.
317800	322800	That is not very expensive, right?
322800	323800	It wasn't a couple of years ago.
323800	325800	This data is a couple of years old.
325800	326800	Today is probably cheaper.
326800	330800	Now, you want online credentials with bank account with money.
330800	332800	That's going to cost you.
332800	337800	Now, why doesn't it cost you this much?
