start	end	text
0	17000	later in the course. That is, there was a back-end SQL database, very large database, that was somehow accessible via external web server.
17000	22000	Anyway, you see the pointers here, you can still read about these.
22000	32000	That is just a nice playground to analyze, and here are some statistics, some takeaways from that database.
32000	44000	These are top 20 passwords, and what you see is the rank, the password, and the number of users that selected that password.
44000	60000	Some of those are totally not surprising, right? Like ABC 1-3, 1-8, 1-7, Roku, because it's a Roku database.
60000	69000	Princess, I don't know, I can't explain princess, I don't know what that's about, but I love you, password, okay, those are easy to explain.
69000	78000	Monkey, I don't know, that must be a term of endearment in the UK, but then we'll be fine here.
78000	85000	Names, mostly female names for some reason, okay, maybe that's because most of the users were male.
85000	92000	This is the gaming side of it, so it's fair to prove the majority of the users were male.
92000	96000	Right, so that's kind of depressing.
96000	119000	Now, we'll come back to passwords later, but one of the things I want to illustrate is that sometimes companies, websites, and organizations come up with clever tricks to make it easy for users to pick passwords or pick and memorize pins.
119000	123000	Now, in this case, banks typically use pins, right?
123000	131000	For website access, they use password, but for ATM access, right, they use pins.
131000	136000	Also, on the phone, they often ask you, if you call a bank, they'll ask you for a pin.
136000	144000	And so, if you let users pick pins, you'll have the same problems as with passwords.
144000	146000	Users will pick dates, typically, right?
146000	156000	Or some kind of very familiar, predictable things like, I don't know, a street address or a phone number, right?
156000	164000	So, dates, street addresses, phone numbers are the most common choices for pins if you leave users the freedom to pick them.
164000	174000	So, this bank in the UK wanted to make it easy for users to memorize their pins.
174000	178000	But the pins were supposed to be random, okay?
178000	183000	Meaning, the bank would come up with a random pin and assign it to the user.
183000	185000	Are you with me?
185000	186000	Alright.
186000	188000	This happens here, too, even today, right?
188000	191000	Some banks do that.
191000	195000	Definitely, my bank did it about 10 years ago, and they stopped.
195000	198000	So, what they said is like this.
198000	206000	If you basically get a grid, like this, you see, a 4 by 10 grid.
206000	210000	And the top row is the numbers, right?
210000	218000	So, if the bank gives you a password, sorry, a pin that is 4 digits,
218000	227000	you basically pick your favorite 4 character word that you know you will remember,
227000	234000	and write it down from left to right on this grid.
234000	241000	So, in this example, the bank gave the password, sorry, a pin 2256.
241000	244000	That's presumably a randomly generated pin.
244000	249000	And the user happens to write the word blue, because 4 digits, right?
249000	251000	4 characters, blue.
251000	260000	So, if the user writes the word blue on this grid, where that 22, right?
260000	264000	Because BL are under 2, because that means the first characters,
264000	269000	the first digits should be 2 and 2.
269000	275000	And then UE, 5, 6, right?
275000	279000	So, the idea is that then, once the user has written it down,
279000	288000	all the other squares in this table are filled in with random characters.
288000	290000	Are you with me?
290000	293000	Now imagine, I wish I had better animation here,
293000	297000	imagine the rest of the squares filled with random characters,
297000	300000	also written in the same typeface in black, okay?
300000	302000	So, you cannot tell, right?
302000	308000	And the point of this is that, if you look at this cheat sheet, right?
308000	310000	You print this out, right?
310000	314000	You carry this around, this cheat sheet.
314000	316000	It only makes sense to you.
316000	318000	You'll remember your pin, because what you will do,
318000	322000	is you'll always remember your word, blue, right?
322000	325000	Blue is your favorite four-letter word.
325000	330000	So, when somebody else looks at this table,
330000	332000	and it's filled in with random garbage, right?
332000	334000	It's basically a bunch of letters.
334000	337000	They don't know.
337000	340000	You look puzzled.
340000	349000	So, normally, in order to guess a pin, a four-digit pin,
349000	353000	you would have to try up to, usually half,
353000	356000	10,000 possibilities, right?
356000	359000	There are 10,000 four-digit numbers.
359000	362000	On average, if you want to break somebody's pin,
362000	365000	you would have to try 5,000, right?
365000	367000	On average.
367000	371000	But, in this case, if somebody gets a hold of,
371000	376000	or takes a snapshot of this table,
376000	379000	it might seem like, oh,
379000	382000	there's lots of possibilities here, right?
382000	386000	At least as many as 10,000, right?
386000	389000	Because, actually, it's like this.
389000	390000	Look at that.
390000	396000	There are four rows that are empty under the number row, right?
396000	399000	And then there are 10 rows, right?
399000	401000	Sorry, 10 columns.
401000	403000	So, we have, basically,
403000	405000	4 times 4 times 4,
405000	406000	4 to the 10th, right?
406000	409000	Which is 2 to the 20 possibilities
409000	413000	of combinations of letters, right?
413000	415000	Actually, it's more,
415000	417000	because you can do the things you can have.
417000	421000	So, it seems like if you look at the combination of letters,
421000	424000	it's even more than there are pins.
424000	427000	But the truth is something else.
427000	430000	If somebody takes a snapshot,
430000	434000	or steals a copy of this cheat sheet,
434000	437000	all they have to do is look for English words,
437000	442000	from left to right, right?
442000	445000	They can go down and sideways,
445000	447000	or they can go just sideways, right?
447000	449000	Human eyes are good at that.
449000	453000	So, in fact, if you're looking for four-letter English words
453000	456000	in a randomly jumbled matrix,
456000	459000	where there is really just one four-letter English words,
459000	464000	there may be some accidental ones, right?
464000	469000	You will completely shortcut the pin-breaking process.
469000	472000	There will be maybe a few dozen possibilities
472000	475000	of four-letter English words,
475000	479000	and one of them will be blue.
479000	482000	So, that's an example of a clever trick
482000	487000	that makes it way easier for an adversary to attack the system.
487000	488000	Okay?
491000	493000	You still look puzzled.
493000	495000	Don't believe me?
498000	499000	Anybody?
499000	501000	Don't be afraid to ask.
503000	506000	Now, remember, it's all left to right, right?
506000	510000	The digits have to be moving, right?
510000	511000	There's your pin.
511000	514000	You have to remember your pin as you, the user, the owner,
514000	516000	has to remember your pin, right?
516000	520000	And so, you write a four-letter word,
520000	522000	but it's not written like this.
522000	524000	It's written in a certain way, right?
524000	527000	You have to be able to parse that word, find it.
527000	529000	You remember the word.
529000	531000	You look at this, you say, you're looking for,
531000	534000	if the word is blue, you're looking for the letter B.
534000	537000	Then you're looking for L, right?
537000	538000	Where's L?
538000	539000	Oh, it's here.
539000	540000	There's U.
540000	541000	There's E.
541000	542000	Okay?
545000	549000	Now, if you think that standard tricks like,
549000	552000	I don't know, spelling words backwards.
552000	555000	This is a typical children's trick, right?
555000	556000	This is the spell.
556000	559000	Some kids even play games with, like, speaking words backwards.
559000	562000	It helps, it does not.
562000	568000	Because the password databases that are out there already have them.
568000	571000	First and last names, common first and last names.
571000	576000	Most first and last names are just well-known and easy to calculate.
576000	582000	Street names, city names, state names, place names, mountain names.
582000	586000	All of those things are easily enumerable.
586000	591000	And all geographical locations in the world, in fact, are.
591000	593000	Same goes with upper lowercase.
593000	603000	If you know at least the scope of what users you are trying to have,
603000	605000	driver's license numbers, right?
605000	607000	If you know somebody is likely to live in California
607000	609000	and have a California driver's license number,
609000	610000	well, guess what?
610000	614000	All California driver's license numbers have a very similar format, right?
614000	619000	Like my driver's license, C6715402.
619000	620000	Okay?
620000	622000	Well, there's not a lot of digits there.
622000	625000	I mean, it's enough, but you can enumerate all of them.
625000	629000	License plates are also in kind of sequential.
629000	630000	License plates.
630000	631000	In California.
631000	632000	Yeah.
632000	633000	Well, there's that.
633000	636000	There was a time when even social security numbers had a structure.
636000	638000	Today, they don't.
638000	643000	But back in my day, you could look at a social security number and say,
643000	646000	oh, I know which state this comes from.
646000	651000	And I know roughly what year you are going to assign this social security number.
651000	654000	Today, they're not like that.
654000	655000	Okay.
655000	658000	Same goes for telephone numbers.
658000	662000	Point of language is if you think, oh, well, you know,
662000	664000	I'm going to use Swahili.
664000	665000	Meh.
665000	675000	Most common foreign languages are easily enumerable and stored in these password database.
675000	679000	Probably the best combination, and this is not something I can give you a proof for,
