start	end	text
0	12000	Alice's password black, it's determined. Well, that means the adversary commits to a certain J, right?
12000	21000	Where J is a P, J, right? Obviously, the adversary knows all the passwords already, right? All N of them, he already knows in the clear.
21000	31000	But which one is really Alice's password? The probability of guessing is 1 over N, correct, guessing correctly.
31000	44000	So, there she goes, there he goes, he says, I'm Alice, here's a password P, J, indeed P, J exists, right?
44000	52000	And P, J will be authenticated correctly by the server, right? So, these are all passwords.
52000	62000	One of them is Alice's, and one of them the adversary will enter. Maybe the same as Alice's, but yeah, with probability 1 over N.
62000	69000	Which one is Alice's password? Can you tell me by looking at this, what could be her password?
69000	78000	This is not a trick question. There's no, there's nothing hiding in there. It's just a set of random cram.
78000	89000	So, but we're not done, right? So, the adversary will likely make a mistake, right? By guessing an incorrect password.
89000	101000	But what now? So, in other words, how do you verify that it's real Alice or an intruder, an attacker?
101000	107000	Well, this is where the cute little thing comes in, and I'll show you in a minute. That's one question, right?
107000	120000	So, how does the system, right? The system verify that this J is from the adversary, this password J is from the adversary, but password I is from Alice?
120000	130000	And the second, how do we generate these hiding words? So, they all look like what you saw earlier, kind of like indistinguishable or equally likely to be a password.
130000	150000	And you can see that if you generate random passwords that sound like, that look like no human could remember them, and one of the passwords for Alice is something predictable like my friend Bob, then clearly that is the password.
150000	161000	So, that's a tricky question, right? How do we make the bogus passwords, the decoys look real? And then there's, okay, how do you respond?
161000	173000	So, the idea is very simple. You have the system that has, I mean, I'm just showing this as a, the system that has the password, the fc password file.
173000	184000	And it has basically all this, it has means of verifying all these passwords. But in addition to the system that exists today, okay, this is what we already have today.
184000	194000	But instead, I mean, in addition to that, we also introduced a new component, physically separate component, called the honey checker.
194000	204000	And a honey checker's only task is to remember, for every user, the index. The honey checker knows no passwords.
204000	214000	So, think of it as like a really, like, brain damage component, like really stupid component. It just does one thing.
214000	235000	It gets a user name and an index. And it says, yes or no. Yeah? That's it. That's pretty much 99% of it.
235000	246000	So, when Alice logs in, right, and supplies password i, the system will check the password i as it already does today.
246000	257000	Nothing changes so far. But in addition, once they check fast, right, once the password i has been authenticated as Alice's password,
257000	267000	the index i is sent over to the honey checker. And the honey checker does a quick lookup in its little database and says,
267000	282000	Alice has index 5. Is i 5? Yes. All good. Nothing happens. But if i is anything other than 5, well.
282000	293000	So, Alice applies the password. The password is matched to pi, right?
293000	302000	You're so far with me, right? It's not exactly that easy because actually the honey checker needs to compute,
302000	309000	remember, this assaulted hash? But he doesn't know what the i is, right?
309000	316000	So, remember, over here, over here, the password, I show them as being here, but they're not stored like this, right?
316000	321000	Do you remember how they are stored? They are stored in the hash, salted hash form.
321000	330000	So, when Alice supplies the p, the system needs to look up all the Alice's, all the m-t-gerts-part into Alice's,
330000	341000	on each one, compute the salted hash, right? Because the salts are different. So, she computes the salted hash,
341000	353000	then she says, oh, there is a match to pi. And then it sends i over to the honey checker.
353000	362000	And the honey checker just says, yes, does nothing. Or, if the adversary or somebody supplies,
362000	371000	well, it has to be the adversary, actually, if they combine it, be j. And the j, and at this point, the system does not know.
371000	378000	Notice, this big box here, this system has no idea what the index for Alice is, what the index for Bob is.
378000	385000	It does not know any indices. It just knows it has m entries for every user.
385000	394000	So, all it does, it authenticates the user using the supplied password. If authentication succeeds, it says, oh, this corresponds to j,
394000	411000	j, and it sends j to the honey checker. Bam. Wrong. Aligned. So, now you see the whole thing.
411000	418000	Most of the time, the honey checker does absolutely nothing other than just do a lookup. If a lookup succeeds, all good.
418000	429000	That means that j matches i. But if a j is not i, alarm. What does it actually mean?
429000	439000	Notice, if somebody is trying to guess Alice's password, if the adversary does not have the password file,
439000	447000	but it's trying to guess Alice's password. With high probability, with all-knowing probability,
447000	455000	the password that the adversary guesses will not hash into any of Alice's honey passwords, right?
455000	467000	There's only an N of them. So, that's life as usual. The system will say, wrong password, as it does today, right?
467000	478000	And you'll say, just wrong password. Invalid, invalid username, password combination. Yeah? Okay.
478000	482000	So, that experience doesn't change. Alice mistypes her own password.
482000	490000	Forget to shift, cap, whatever. No problem. Wrong username, password combination. Try again.
490000	506000	Same as you do today. But the only way, the only way, again, with high probability, the only way that somebody will guess, or have in their possession,
506000	519000	Alice's password, which is not hers, right? Which is one of the, not i's, right? Anything but i, is going to be somebody who cracked the password file.
519000	525000	Does that make sense? That's the cause for alarm.
525000	532000	So, you wouldn't want any of these alternate passwords to be a very commonly known password?
532000	544000	Right. Right. You don't want them because then you'll be confused, right? Is it, because it has, it cannot be something that somebody would guess about Alice, like trivially, right?
544000	553000	So, that's the, that goes back to how do you generate these details, right? The other question. How do you generate? We are not there yet.
553000	561000	So far, so good? So, yeah, this is already what I mentioned. If the true password is submitted, the user is authenticated.
561000	570000	If a password that is not in the set of Alice's password is submitted, that's a normal authentication error. Okay?
570000	579000	If, if a non Alice's, if a password is submitted, that is one of Alice's, but is indexed, not i, then an alarm is raised.
579000	586000	Only a breach, right? Can cause this. Now you should be convinced. And as you said, they have to be non-treated.
586000	599000	So, if you choose the honey words, judiciously, they will not be like a, a coincidence, right? That you, that somebody, without breaking the password file,
599000	609000	typed in one of the honey passwords. But interestingly enough, as far as Alice, Bob, Charlie, any user is concerned,
609000	614000	there is no change in their experience, right? They don't need to remember two passwords. They still remember one.
614000	620000	They still enter user name, password, hit return. Nothing changes. That's another nice thing.
620000	629000	You don't want to change the user experience, right? Because user experience requires change, requires training. Adaption. Right?
629000	635000	Different users adapt differently. But if you tell them, oh, it's the same as before, just there is something in the back.
635000	641000	Maybe you don't even tell them. They don't need to know.
641000	655000	So, the nice feature here is that the system that today hosts the password file that authenticates you, just needs to transmit the index.
655000	662000	Like minimal information, right? Just name of the person, of the user, and the index.
662000	673000	And so, very little modification, right? You just introduce kind of a call, right? An additional call after you have authenticated the password, right?
673000	680000	Here. After the password has authenticated, you take the index, and the user name, and send it to the honey checker.
680000	691000	And you wait for reply, right? And if the honey checker says yes, cool, honey checker says no, alarm, lock up everything, yeah.
691000	700000	And this is kind of a very trivial way of implementing distributed security, right?
700000	704000	So, the honey checker, of course, is not a full-blown computer system with accounts, right?
704000	712000	You want the honey checker to be a device or a computer that is at most as one account, I mean, basically, like, administering,
712000	720000	user, right? Or a root account that is touched and logged in almost never, right?
720000	726000	Only when the password file and indices are updated.
726000	737000	In fact, you can keep indices the same even if you change the passwords, because they are only known to the honey checker.
737000	746000	No single point of compromise. So, for example, if the computer system is compromised, well, we said, right,
746000	754000	the password file is a hack, you learn about it, right? Because the first user, the first time the adversary
754000	760000	threshold again for any user, for any Alice, Bob, and Charlie, alarm will be erased, and that's it.
760000	767000	The adversary gets one chance. And so, whatever user he picks, Bob, Charlie, Alice, assuming, let's say,
767000	774000	n is some reasonable number, like 20, his chances of getting in a one out of 20.
774000	781000	He might get like, but he's got only one chance, and it's one out of 20.
781000	786000	How long would you update the password without knowing you being fixed?
786000	795000	Well, that has to be done offline. That's not the pretty part. Because if you want to update, if you, well, let's think about it.
795000	797000	You can do it if they gave you their old password.
797000	803000	Yeah, yeah, yeah. I mean, password change, password change programs are separate. Actually, that's a whole, like, separate lecture.
803000	818000	Doing password changes is an underappreciated problem, and a difficult one. Especially considering what happens if you have disconnects in the process.
