start	end	text
0	3160	I'm Drew Zee, if you don't die, no excuses.
5380	7220	Now, let's share a quick show of hands.
7520	11240	Do you want me to post a few example problems?
11800	12060	Yeah.
12780	13640	From prior years?
14260	14600	Yes.
14840	15740	Let me ask this.
15960	16960	How many don't want them?
20960	23840	I'll throw it together, a few examples.
23960	24900	But I won't post solutions.
24900	32240	Because many of the type of exams I give in classes I teach
32240	35060	generally have more than one solution.
37120	38480	Rarely there's just one.
38620	41080	It's like for undergrad when I teach crypto,
41260	42240	there's just one solution.
42840	44940	It's a numeric answer.
45880	49960	But other than that, the type of questions you have,
49960	54980	that will require one, maximum two paragraph answers.
56340	56500	Okay?
57040	58420	Do not write me an essay.
60000	60280	Okay?
60540	60960	Please.
61740	63180	Save yourself, save me.
63340	64100	Don't write an essay.
65100	65400	Okay?
66180	69420	Also, just as a rule,
70300	72380	there are no devices allowed in the essay.
72380	75440	The phones, calculators,
76080	78620	everything that you normally bring
78620	80700	has to be inside your backpack
80700	82500	or somewhere else away from you.
83440	83700	Okay?
84840	89660	No virtual reality AR type devices like this one.
90480	90780	Okay?
91240	92140	No earphones.
92860	93480	No headphones.
94800	95080	Right?
95320	96060	None of that.
97020	99400	No smart devices whatsoever on your body
99400	100720	at the time of your exam.
100720	102960	Nice.
103040	104200	So your backpack, whatever stuff,
104380	106860	inside, next to you, under you, whatever.
107060	107540	No problem.
108080	108380	Okay?
108640	110660	You need to bring something to write with.
112520	113000	Pen?
113660	114100	Pencil?
114640	114980	Both?
116580	116940	Sure.
117940	118260	Okay?
118680	119580	I will give you paper.
120280	120660	I know.
120800	121360	It's old-fashioned.
121540	122340	It's 20th century.
123460	124720	You write it on paper.
125900	126080	Okay?
126880	128540	I will give you an exam sheet.
129120	130540	You will have some number of problems.
130720	131600	Not too large.
131700	132300	Not too small.
133460	135500	Same rules apply to the final type.
136600	139240	And you will have blank sheets of paper
139240	140100	that I will bring.
141720	144360	And I will give you a couple to start with.
144440	145600	If you need more, you'll come up.
145960	146600	Make some up.
146600	150880	You can write on one side or both sides.
150940	151380	I don't care.
152480	154800	The only thing I absolutely care
154800	157700	is that you do your best penmanship.
157700	162720	I am not here to decipher encrypted text.
163980	165340	It's not what I paid for.
166340	167860	That's beyond my call of duty.
167860	170720	So, if I can't read it,
171020	173520	I'll assume it's not decipherable
173520	177320	and it requires a deduction of points.
177320	181120	I mean, I don't want to be calling everybody in
181120	181420	and saying,
181520	182440	what did you mean here?
182560	183840	What is this encrypted word?
183940	185480	What is it in scrambled sentence?
185980	188280	Please, write legibly.
188500	189540	If you have to print,
189980	191000	use printed letters.
191100	191520	I don't care.
192500	193360	Just write legend.
194100	194300	Okay?
195960	197240	And if you erase,
197840	199380	make sure you erase well
199380	200700	because sometimes, you know,
200740	201760	when you erase something,
202080	202960	it's smudgy
202960	204340	and then you write on top of it
204340	206100	and then it's hard to read.
207140	208120	I'll give you more paper.
208820	209300	No problem.
210240	210500	Okay?
210780	211640	So, that's the exam
211640	213260	and it will cover everything we covered
213260	214560	including today.
216400	218000	I might ask you questions
218000	219240	about the background stuff
219240	219660	from that,
219720	220940	remember that lecture one background?
221520	223360	Why, like, not specific?
223540	225720	Like, not in big detail, right?
226680	228480	It's not relevant to what we covered.
228560	229800	Otherwise, so far,
229920	230800	I won't ask you, like,
231040	234340	how does elliptic curve DSA work?
237020	238740	So, I'll be reasonable
238740	241180	and you'll try to be reasonable.
242560	242720	Yeah?
242860	243520	Are we going to expect
243520	244120	to know, like,
244120	244940	the specific numbers
244940	246200	associated with different protocols?
247320	247980	What do you think?
248600	249340	I don't know.
249700	250620	I'm not happy.
251000	251120	No.
251520	252320	No.
252640	254020	If I ask you something like,
254140	255300	okay, so how does,
255500	256540	let's say today's lecture
256540	257980	was more about IPsec.
258420	258900	So, I'll say,
259040	261740	how does IPsec parse headers?
263320	264900	You should know how it does it
264900	266780	but you don't need to know
266780	268040	the vertical numbers
268040	269020	and, you know,
269260	269860	this kind of thing.
269860	270560	That's minutia.
270560	271820	I don't care about that.
272920	273700	I do not hear.
273880	275000	You're not here to, like,
275560	276500	for growth learning
276500	279320	to memorize some boring numbers,
279400	279600	you know.
279600	285800	Okay, so, on the last episode
285800	287220	of 203,
287220	290840	we went for SSL-TLS
290840	292880	and I know you're probably
292880	294520	more confused than you were before
294520	297320	but you do know a bit more about it
297320	298240	than you knew before.
298240	302280	It is a complicated protocol.
302540	304280	Nobody learns SSL-TLS
304280	305140	in one lecture.
306100	306340	Okay?
306740	308820	It's an effort that took years
308820	310980	by a whole lot of people,
