start	end	text
0	14880	Routing protocols came back to the late 50s, early 60s and they predate the internet because
14880	20320	there were other networks out there in the world besides the internet.
20320	27040	In fact, even today there are other networks, we just don't study them as much, they don't
27040	33520	impact us very much. There were other architectures that were used for private networking and even
33520	43040	internet but different types of internet. Anyway, there are two, okay, how many people have heard
43040	54160	of Dijkstra's algorithm? Oh, that's better. So what does Dijkstra's algorithm do? Shortest
54160	61760	path. So, right, given a network or a graph, and a graph and a network are kind of the same,
62800	69360	right, given a connected, not fully connected, but just a connected graph, Dijkstra's algorithm
69360	81440	will find you a route, i.e. path between A and B. Okay, and it does it depth first.
83360	91360	How many people heard of Bellman Ford? Oh, good, so you heard it in the same context probably in an
91360	97360	algorithms course or some other kind of elementary course. Usually they're covered also, re-covered,
97360	104960	in networks course, as a prelude to route. Bellman Ford is also an algorithm for graphs,
105920	111040	which are networks, connected, right? If you have a disconnected graph, it doesn't work.
111040	125520	And it is breadth first, okay? Not depth first, breadth first. And so for the last 70 years,
126080	133040	there's been a lot of debate about which one is better, right? They're not compatible. They're sort
133040	142560	of mutually exclusive. You either do breadth first or you do depth first. And so today's internet started
142560	154720	out, okay, by using a depth first, right? Something called OSPF, okay? And today it's using,
154720	162160	sorry, it was started out using depth first, now it's using kind of a breadth first. Something called distance vectors.
162720	169440	Okay, I'll explain quickly how distance vector link state works because they don't have slides
169440	175280	on it thinking that you already know. Link state works like this. It basically dice this.
175280	182480	Every node in the network, okay? And imagine we are a graph. So every adjacent person to you is a link, right?
186160	192880	Everybody broadcasts the state of their links. For example, I'm connected to this guy and this guy.
194560	202080	And I'm going to broadcast to anybody who hears that these are my connections. Let's go. Alice, Bob.
202080	212960	Everybody else does the same thing. He broadcasts that he connected just to one person, him. He broadcasts that
212960	219280	he's connected to, I don't know, two people. Everybody broadcasts that the state of their connection,
219280	227200	who they are adjacent to. And that broadcast is flooded. Does everybody know what flooded means?
228160	235040	It means when you receive a packet, you forward it out on all other interfaces, right? Which means on all other
235040	247840	connections. You following me? So this generalizes into following. Everyone receives the state
247840	259680	state of every other node in the network. Yeah? You following me? If everything is flooded and broadcast,
259680	270400	and let's say at roughly the same time, then everyone learns who is connected to whom directly. Yes?
270400	280560	Okay, that allows you to construct a graph. And do the shortest path, for example, the extra set.
281680	289200	Okay? Explicitly knowing what the path is. Right? You actually learn the path.
289200	296000	Right? So for example, to get to you over there, I will learn the path I have to go from him and him.
296000	301760	That's my shortest path. I could also go around, but the shortest path is like this. Okay?
302400	304400	This Daxter's algorithm tells me that.
304400	314800	So that's link state. Why it's called link state? Because everybody broadcasts the state of their links.
314800	318160	Links means immediate connections. Immediate, right? Who am I connected to?
318160	326800	So if my connection to him is down, well, I obviously don't broadcast the fact that I'm connected to him.
326800	333200	I only broadcast the fact that I'm connected to him. And in fact, he's the only one who hears my broadcast.
333200	340240	But then he rebroadcasts my broadcast, and everybody knows that, oh, well, he attends his name, right?
340240	344960	But everybody knows that, oh, let's see, this guy has a path of length one to me.
344960	356720	You learn this. You learn this. Later you rebroadcast. He learns that, he learns that you have a path of length three to me.
356720	367280	And he knows exactly the path. Okay. That's link state. Distance vector is very different. Distance vector says
367280	376640	everybody in the beginning has a table of all other nodes. So we know the population.
378720	385360	Okay. But I tell, I essentially tell my neighbor, my direct neighbor, let's say I'm here.
386480	391600	My direct neighbor is these two. I tell them my routing table.
391600	399840	In the beginning, my routing table is very simple. It lists all of you all with a distance infinity.
401520	412720	Except for them. It says, I can get, I'm connected to him with one half. I'm connected to him with one half.
413680	417200	If I'm telling you that I'm connected to you with one half, it's useless. You already know this.
417200	428160	But what you don't know is I have one half to him. Okay. So all of a sudden, now you, instead of having distance infinity to him, say,
428160	435520	oh, the distance is two and I am the next half. Does everybody understand this example?
435520	445840	And then he broadcasts his own table, which has infinity for everybody except for me, him, and the two people here.
448400	454560	This converges. Everybody does the same thing in the distributed fashion. This converges.
454560	464320	This converges. And at the end, every node has a table with every possible destination, but not the path.
465520	472480	They don't know the graph at all. What you do know is that to get to Isita over there,
472480	483440	I, it costs one, two, three, four hops, and the next hop is him. But I don't know how it goes after that.
483440	491360	Totally ignorant. To get to that guy in the white hat, it will be one, two, three, four. Again, next hop is him.
491360	497280	To get to that guy over there, next hop is him, and the distance is three. One, two, three.
497280	504160	One, two, three. That's what we learned in the end in distance vector. Why? Distance vector.
504160	510960	Because the table shows the distance. And the stuff we exchange out is called distance vectors.
513280	515200	That is a crash course for free.
515200	531520	Well, today's internet, okay, does not use either, truly speaking. It uses a hybrid. It's called path vector.
532960	540160	So, and it does not use actual IP addresses as a destination, or it does not even, in fact,
541120	547200	you can think of it as using autonomous systems. Remember ASs, ADs, as destinations. So, it does it
547200	554880	at a coarser granularity, right? Now, there's some details here, the IP prefixes included, but I'm
554880	560800	going to abstract it all the way. So, think about it that today's internet operates on the granularity
560800	566960	of autonomous domains or autonomous systems, right? Because they're just these blocks, right? What happens
566960	573120	within each autonomous system, which could be small or large, is of no concern to BGP, which is the
573120	578080	protocol that runs it. Inside, you can run whatever routing protocol you want. You could run the same
578080	585040	BGP, border gateway, inside, or you can run OSPF, which is open shortest path first, or you can run RIP,
585040	592640	which is a reliable internet, routing internet protocol. There are a number of other options
592640	599680	you can do. You can do static routing inside also, like manually configured static routing,
599680	605520	and check out, from the andres of the era that I described here, okay? So, what you do inside it,
605520	611920	inside it, AS or AD is up to you, but the main thing is, if you want to connect to the internet,
611920	627280	right, your border routers, right, must run BGP, which is how ASs do routing, okay? So, today,
628720	636880	routing is done, and then it's BGP level done on the basis of ASs or IDs, but they are still using IP
636880	643840	addresses for routing, right? The actual routers use IP addresses, and that's because for each AS or AD,
643840	650880	there is a bunch of IP prefixes associated. So, when you know a route to a particular AS,
650880	657600	you can associate a bunch of IP prefixes with it, okay? And that allows us to route IP back.
657600	670640	Right. So, as I said before, and you know, routing, mechanical actually, routing can be by explicit
670640	677760	IP addresses, but usually it's done by longest prefix match. Remember I discussed that? Longest prefix.
677760	682240	When the router looks in its table, it looks for the longest prefix. The longest prefix may actually
682240	688000	be an explicit address, the full address, or it may be some part of the address, like the preface,
688000	692240	but it looks for the longest prefix, because that's likely to be the best route.
696400	698320	Right. So, this is basically what I told you.
701440	705840	So, we're going to forget link state for now, and we're going to forget the dyke strap. I'm going to
705840	710480	look at Bellman Ford, right? And this is essentially what is at the heart of BGP today.
714080	720320	There are some pitfalls here, and some of the problems with routing aren't necessarily security
720320	727600	problems. They are sometimes reliability and fault tolerance problems, except often we cannot tell
727600	733040	what causes it, right? Is it like accidental malfunction, stupid operators,
733040	742080	just making mistakes, or is it, or implementation errors in the routing protocol implementation,
742080	748880	or an attack? So, one of the problems that occurs in distance vector protocol is what's called a
748880	754960	split horizon update. I don't should just understand how that works. So, I'm going to, this picture shows
754960	761840	you a kind of a very silly network, which is called a line network, where it's not very interesting,
761840	770240	right? But it happens in the real world, where you have essentially, well, these entities. You can
770240	776000	think of them as domains, or you can think of them as just routers or hosts. It doesn't really matter.
776000	785440	But the thick white lines represent direct connections, okay? So, the idea is, like in distance
785440	796160	vectors, I just tried to explain, that you see here, G1, it is directly connected to A.
797840	804880	So, what it does in a normal distance vector protocol, it says, look, it advertises. It tells everybody,
804880	814240	hey, hey, I have a hop one distance to A. Okay? So, it informs G2. It cannot inform anybody else,
814240	820560	right? It just, well, it can inform A, but A already knows. So, it informs G2. And so, they quickly,
820560	830800	and then G2 says, oh, and good news, wonderful. And now I have a two hop route to A. So, it advertises to G3.
830800	841280	And G3 says, yay, I have a three hop route to A. Oh, why? And G2, right? And then, so on. And G4 lands it
841280	848320	with a distance four. Finally, G5 lands it. After a bit, it says, I have a five hop route to A. Okay.
851840	859120	But suppose the link here goes down. Maybe an accident, maybe a hack, we don't care.
859120	868800	Something bad happens. And this G1 and A get disconnected. So, what the protocol does,
869920	880240	naively, G2 says, I have a route of length two to A. Remember that? From the previous slide.
880240	889760	So, G1 says, I have a route with a length infinity. I cannot reach A. The link is down.
891120	897520	Right? That's a fact. So, when the link is down, you're supposed to mark something with infinity.
897520	905200	Because you cannot destination unreachable. But, G2 remembers good news from the previous slide.
905200	913040	And it says, I can get to G1. Sorry, I can get to A in two hops. Remember, distance vector does not
913040	920320	remember routes. It remembers distances and next hop. That's how it's specified.
920320	929040	So, basically, what will happen is, G1 will say, all right, two is better than infinity.
930320	939920	Strictly less. So, now I have a route of length three to eight. That's what G1 thinks.
939920	951280	And then it starts sending packets. Right? To G1. Sorry, if G1 has packets to A,
951280	956080	we'll send it to G2. G2 will send it back to G1. G1 will then send it to two. And there's a loop.
957840	966160	Okay? So, there you have it. And then, what's called is, they're counting to infinity. Because
966160	974000	as they realize, oh, well, you know, there's no path of length two, they're going to increment it. Right?
974000	982240	One by one. And it keeps going. It's called counting to infinity problem. Okay?
984400	992160	Now, once you understand the problem, the solution is easy. Okay? The solution is easy. It says,
992160	1000160	you know, do not advertise on the same interface that your receipts are. That is, do not re-advertise.
1000160	1004640	Do not tell me that I can reach things in. Do you follow?
1004640	1022480	So, as they exchange routing tables, they both start incrementing, right, by one, the cost to get to A.
1023120	1028080	A is completely unreachable. There's no way to reach A. But they both think that there is a way to reach.
1028080	1033600	Just the cost goes up. And this can take for a very long time. Infinity is a large number.
1034320	1039840	Or whatever the number of bits reserved for the hop count, right, eventually will overrun. So,
1041520	1048400	if you start, if you stop doing that, right, so you don't, you don't advertise, re-advertise a route
1048400	1053280	on the interface you received it from. That solves the problem. But it only solves the problem if you
1053280	1058960	have these kind of very small loops. Does that make sense?
1062160	1068960	Now, link state does not have this problem. Remember how I described link state? In a link state
1068960	1075120	protocol, every node in the network receives an entire map of the network. So, loops are impossible.
1075120	1097280	And so, that's why BGP, one of the reasons, BGP today is what's called path vector. So, it works like a
1097280	1102080	distance vector, but with a, with a twist, with a, with a, with a, like a, a little bit extra feature.
1103040	1118080	That, in addition to every table, it's actually every node.
1118080	1127120	So, normally, a distance vector table would be like this. You will have three columns,
1127840	1134080	and here will be destination, uh, cost,
1134080	1146800	next hop. Right, that's a distance vector table. And here it will say something like, I don't know,
1146800	1152720	uci.edu. I'm just, I'm not putting it, it could be numeric, okay, but I'm just putting, let's say,
1152720	1160320	some prefix corresponding to uci.edu. And, uh, this could be, I don't know, 12, meaning 12 hops away.
1160320	1169760	And the next hop is, uh, well, depending, if this is, I don't know, uh, uci.davis,
1171600	1176320	that, that's the table at uci.davis, and this would be the next hop is, uh, ucla.
1180000	1185040	Okay, that's how a distance vector table sort of looks like. But, in BGP,
1185040	1202080	this is not next hop, but that, entire path. So, this will be like uci.edu, uh, I don't know,
1202080	1211520	SoCal, uh, blah, blah, blah, com, cox.net, et cetera, et cetera. Right? So, it will be a sequence of,
1211520	1216560	uh, of hops, of actual hops that you have to take, like, a full rep.
1218400	1225040	One of the reasons this is done is to avoid loops. Right? If you know the actual path, right?
1226800	1230480	You can see when there are loops, right? You will see that, for example, something is,
1230480	1236800	you are about to add yourself to the path, and you're already there. That's a loop. Right?
1236800	1241120	So, this allows you to avoid loops. The other reason BGP is like this,
1241760	1247360	anybody want to guess why? Remember, this is for the internet, right? Worldwide.
1250320	1250880	Any idea?
1254080	1258080	It's not a, it's not a trivial question. If you're not familiar with internet,
1258080	1260160	individually, it has to do with politics.
1260160	1267360	The internet covers the world. Right? Pretty much every country has access to the internet.
1267360	1270240	Every country has at least one AS. At least one.
1273760	1275920	Countries provide transit services, right?
1278480	1285200	This explicit remuneration of the path is there so that countries can decide,
1285200	1288800	oh, I don't want to take this path. I prefer this other path.
1290880	1296960	Okay? So, for example, if you're sending packets, if you're sending traffic from here to India,
1298240	1303120	maybe you don't want to transit Iran, even though they offer attractive transit service.
1304320	1310240	Right? Or maybe if you're in South Korea and you want to go, you know, connect to Mongolia,
1310240	1316560	you don't want to go through North Korea, even though they'll promise you amazing transit service.
1317680	1320320	Okay? That's why.
1321200	1325840	So, if this, if you have just distance vector that shows you the distance and the next path,
1325840	1331360	you don't know the route, right? But when you, with path vector, which is what the GP is,
1331360	1336160	you actually not only know the distance, but you also know the cost, but you also know the actual path.
1336720	1342480	But the path is not at the level of ID routers. The path is at the level of domain.
1344080	1350960	Does that make sense? Because you don't really care, and it's too much, it's really TMI to know which hops you'll take.
1350960	1357520	What's important is which domains you will cross. In other words, who is going to look at your traffic?
1357520	1374560	So, fundamentally, it works just like distance vector, right? The adjacent routers exchange
1375120	1380000	their routing tables, but the routing tables also contain, you know, in addition to the distance,
1380000	1389440	these paths, right? So, and you can have multiple paths, and there's another thing. You can, in fact,
1389440	1395760	should have multiple paths for each destination, because you may prefer one path over another.
1396720	1401360	Like, for example, if you have only one path to get to, I don't know, Mongolia, and it goes to North Korea,
1402000	1406800	you don't have a choice. If you don't like North Korea, you don't communicate with Mongolia.
1408000	1413760	But, you know, there is internet, it's very unlikely there is only one path, right? Maybe you can go
1413760	1422960	through Russia. Could be a little safe, or not? I mean, you can go through, you know, Leos,
1424640	1429600	low Earth orbit satellites. I gotta do that. Everybody's favorite, Elon Musk.
1432080	1439520	That's a domain, by the way, right? The Starlink system is a domain, is an internet domain. It's just
1439520	1445600	not on, it's not on this Earth, but it's still a domain, right? So, you communicate via the internet,
1445600	1449840	you go, you go to the satellite, for the satellite, then you, you're transiting a satellite domain.
1450400	1450880	It's barely.
1455280	1459920	So, here's a BGP example, just that makes it a little bit, perhaps a little more. So, here we have a very
1459920	1465440	small toy network, right? These are, these are domain, or ASs, right? Autonomic systems. So,
1465440	1472160	not individual hosts. So, here we have, these are strangely connected networks, but the main thing
1472160	1477360	is that, for example, AS2, right? The one in the middle, provides transit service for 7. It's
1477360	1484000	a kind of a transit domain. So, basically, traffic to and from 7 goes through 2, except for 8, right?
1484000	1493840	8 can reach 7. So, what does 2 advertise? 2 says, well, sorry, 7 says, hello, to its neighbors, right?
1493840	1498560	I don't know how to reach anybody, but I'm 7, and I'm one hop away from you.
1502960	1510000	And 2 says, to its neighbors, hello, I'm 2, and if you want to reach 7, you got to go for me,
1510000	1519920	and the path is to 7. So, like, 1, the main 1 says, oh, if I want to go to 7, I have to,
1519920	1524800	the path is first 2, then 7, and that's it, right? That's the path.
1524800	1534080	The vector, right? And they, let's see, 3 and 6, in turn, also advertise to their neighbors,
1534080	1541120	that if you want to go to 7, you got to go for them, right? So, 3 says to 4. You want to go to 7?
1541120	1548400	That's me, right? And the path is 3, 2, 7. And 5 learns that the path to 7 is 6, 2, 7.
1548400	1553920	You see the fundamental difference here. Sometimes it's not, it's not, it's a little subtle, right?
1553920	1559760	So, in development 4, or the distance vector, path vector protocols, nobody computes the routes,
