start	end	text
0	8240	perverse a number of what's called autonomous systems. Some autonomous systems are called
8240	14240	stomp, because you need stomp, meaning that they're like ISPs, that they provide services
14240	22400	to individual customers. And then there are these transit or backbone ISPs that essentially
22400	28480	do not deal with individual customers, but rather provide, well, just transit services.
30000	40240	And so an autonomous system, as I think I have mentioned at least a couple of times,
40240	45040	is a collection of resources under the control of a single administration.
45920	52880	It is typically contiguous. So you can have autonomous systems, or you can have an organization
52880	59200	that is so large that it has multiple sites, multiple locations on the internet, and then
59200	64800	most likely you have different autonomous system numbers. Each autonomous system is assigned an
64800	70320	official number. You cannot just pop up on the internet and become an autonomous system. You
70320	74160	have to register and apply for a number. You can be assigned a unique number.
74160	87840	Okay. Various days. OSI, standard vertical stack that you probably would have seen in the network's
87840	95440	power source. Seven layers. It does not correspond to reality. At least not in the upper layer. The lower
95440	101840	core layers kind of do, because here we have the actual physical transmission, right? Some kind of
101840	109920	wireless or wired, not basically that, even pigeons, right? Whatever. And then on top of that,
109920	117440	you have a data layer, something that's called MAC layer, media access control, right? MAC layer. And above that,
117440	129280	you have a network layer, where in our case, IP lives. And then in a transport layer, you have things like
129280	137760	TCP, UDP, ICMP, and what else? Some kind of niche protocols. And then on top of that, you have things
137760	146720	like SSL and CLS, and HTTP, etc. And this has RPC, while this is a bit outdated, but remote procedure
146720	153120	calls that used to be implemented. This still is implemented on top of the transport layer. And then
153120	159760	the rest is like session and presentation layer. There's like a bit less clarity, how to map that.
159760	173200	So we call the data format. So your application will be passing the data forward to the transport layer.
175200	183680	The data that an application passes to the transport layer can be just a blob, okay? Some kind of blob,
183680	190080	we don't care how long it is, as long as it fits in the address space of a computer, right? Available
190080	195760	program memory, some kind of buffer. So we don't say how long this is. Let's just assume it can be
195760	204320	arbitrarily long. And the transport layer, typically today, what happens is, if it goes to a DCP, right?
204320	211920	So a DCP is by far the prevalent protocol for transport layer, not the only one. But a DCP layer,
211920	219680	what happens is DCP will look at the application data and say, okay, I am aware, I, DCP, I'm aware
220720	230080	of the maximum transmission unit of the lower layers. I know exactly what is the maximum packet size.
231200	238560	So because it is aware, it will chop that application data into chunks or segments,
238560	246960	and then slap a TCP header in front of each one of them. A unique DCP header that will be unique,
246960	251520	because remember, DCP header has all kinds of things. But one of the things you should remember,
251520	260400	we talked about it, is data offset. Remember offset field? So for a given DCP connection, right, there will be
260400	268560	different offsets when the application data is split out. But the source, destination, port numbers
268560	276960	in those PCP headers in multiple segments will be the same. So the offset field is very important,
277600	282160	and it's interesting because it serves as both the actual offset into the data,
282160	292320	but it also serves as kind of a sequencing. Except it's not incremented by one, it's incremented by the size of each segment.
293520	303040	So at any time, a DCP connection, the offset represents the number of bytes, of data bytes,
303040	317040	in that direction. It's unidirectional, which means that Alice is talking to Bob. This is going to reflect
317600	328480	the number of bytes that Alice sent to Bob thus far on this DCP connection. Okay? Bob Mason, more or
328480	338240	less, it has its own offset in Bob to Alice direction. Okay? At the network player, each DCP segment,
339040	349440	each DCP segment, will likely not get fractured. Okay? Because the DCP is aware that an IP header will be
349440	357120	slapsed in front of you. So it accommodates that. It takes it into account. Okay? So now we have an IP
357120	362400	IP header, a DCP header, followed by data. That is faster than the data lake layer. In this case,
362400	373200	it's Ethernet. Now Ethernet works over wires, twisted there, over fiber, it works over Ether.
375440	381680	Right? But it stands in, so that's physical layer, right? That's physical layer. What physical
381680	390080	media uses? But the MAC layer, okay, data lake layer, there's a standard, Ethernet standard,
390080	396240	that says exactly how packets are formatted. So the network layer, IP packet comes in,
397040	404400	and Ethernet header is added, and then Ethernet tree lays again. So the packet essentially encapsulates
404400	411920	this. Okay? If you are using any secure, or if your Wi-Fi, you know, usually wired does not,
411920	419120	but if your Wi-Fi is using some security measures, like WAP, WAP, or whatever the heck they're using,
419120	428080	WFPA, that will be taken to our pair, at that layer. Okay? So there will be additional shields,
428080	432720	additional subtenants here. But what I'm showing you here is just without any security, right?
432720	439440	If time permits, at some point I will talk to you about wireless security, right? That usually happens
439440	454640	at this layer, not above. Now, if you listen to prior lectures carefully, you remember me spending time
454640	463040	on fragmentation, right? And you may ask, why did I spend all this time talking about fragmentation,
463040	468000	and I just informed you that fragmentation actually does not have an IP layer, right? Yeah.
469600	480160	Contradiction? Yes. Except that TCP is not the only transport layer protocol. Other transport layer
480160	489760	protocols are allowed not to be as complicated and to pass to IP anyway. In fact, TCP is just very
489760	496240	considerate and nice this way. One of the reasons it is, is because it doesn't want to deal with IP
496240	503680	fragmentation. It has its own fragmentation to use. Do you see? So it wants things to go fast.
503680	510800	It optimizes through. It optimizes through. Other protocols do not have to do. How many of you are
510800	520000	familiar with the Linux kernel or any Linux kernel? A few of you. Did you know that there's something
520000	530960	called raw sockets? Anybody knew that? Good. You can actually have an application, write an application
530960	539600	that uses IP directly. You do not have to go through some session layer and then transport layer. You can
539600	547760	actually write an application. They just directly accesses IP. In which case your application is its own
547760	557680	is your own transport layer. Okay? Stunted, crazy, silly, maybe, yes, but it's allowed. Just FYI,
559040	567200	many open unisex versions allow you to also write raw ethernet. That is, if your application
568400	573040	if your kernel configuration lets you do it, you can actually open a raw ethernet socket and send
573040	579360	directly infinite packets. In which case your own network layer. But these packets will not go
580000	588240	past the first router. You see what I'm saying? Okay? Unless you re-implement IP and DCP and whatever
588240	597120	else, right? So that's why this is not a contradiction, right? For example, UDP, which is another transport
597120	606480	protocol, can hand over to IP a packet that is very big, and then IP is N24, will fragment. IPv6 will
606480	617840	barge. Okay, let's give you an error. Right, so TCP requires the segment to break data into segments,
617840	623280	and the receiver must reassemble segments. And because TCP is a connection-oriented
623280	629920	protocol, right? With explicit establishment and tear down a connection, there's an acknowledgement for
629920	640640	every packet. Well, there's an acknowledgement, okay? And lost packets, when the lost packets are
642720	647760	detected or there's no acknowledgement coming through the center for a particular system, it has to
647760	654800	re-transpense. And one of the more important things in TCP is the maintenance of what's called
654800	662720	receiver window. Does everybody know what that is? So, normally, when you send segments one,
662720	668160	segment two, segment three, segment four, you expect, normally, to receive them in the same sequence.
668160	678640	But what if segment two gets lost? What if some router modifies a bit in segment two, and when it is
678640	685680	received, it is incorrect. So, it's from away. So, it's essentially not being received. Or maybe it gets
685680	695040	sent by a different route and gets stuck somewhere. So, that allows, so TCP handles this and allows the
695040	703760	receiver to receive packets or segments that are not in order. And so, instead of expecting a window
703760	709680	of size zero, meaning I receive packets one, two, three, the next one is four, right? It says, oh,
709680	717520	I receive packets one, two, five, but I'm okay with receiving three, four, or six, okay? So, that's called
717520	723120	the size of the window. The size of the window is dynamic based on the characteristics of the network
723120	727840	of traffic, right? It has to do with, like, congestion on the internet, okay? And many other
727840	739440	factors that influence the size of the TCP window. Now, IP is much simpler. Recall, it says vertical,
739440	745680	but it's actually not a vertical. It is a packet format. It is an extreverse. Every packet is on its own.
745680	757680	So, it uses either prefixes off or exact destination addresses for routing. Okay? What am I saying?
758960	768160	When the packet arrives at a router, IP back, the router's main job is to take the destination of
768160	777120	that packet and look that up in its routing table, FIB, forwarding information dates. That's a weird term.
777120	784400	It's really a routing table. And it can be huge, huge, huge, especially for a backbone router.
786000	794400	So, how does it look it up? Well, it's not the exact match. It's possible that the destination
794400	799440	IP address is exactly present in the routing table. It says to this, for this destination address,
799440	808000	go there. But most likely it's not like that. What it says is the prefix for that destination address
808000	815120	is over there. So, you see this example destination here. So, it could be that the routing table can
815120	821120	trace an entry for exactly this, or it could be that it contains an entry for 171, 64, 66.
821120	829920	That's called a prefix. That's called a prefix. It's one example. 171 is also a prefix. That's the
829920	837360	shorter prefix. So, what I think I'm going to do is it looks for the longest prefix, right? The most
837360	845520	exact match possible. And that is the entry when it finds the entry with the longest prefix. It says,
845520	853520	okay, what is the next entry? In that entry, you have all kinds of stuff, including which interface
853520	861040	to forward it on next. What is the next stop for this package? It doesn't know the actual route,
861040	867520	right? IP routers do not know the actual route this package will take to the destination. It's just
867520	881920	the destination and the next stop. Okay. If no match is found, what's supposed to happen but doesn't
881920	890400	always happen is an ICMP destination and reachable packet is generated back to the source.
890400	898960	source. Okay? So, whatever you see in your browser post-unreachable, right? You're trying to load
898960	909280	something unreachable, that's essentially what happens. Okay. So, long as we can match,
909280	915120	of course, there are usually several hops, often more than several. If you actually do a trace route,
915120	927280	you will see if you do a trace route and then give an IP address or trace out host names,
927280	936560	you will actually see in excruciating detail the hops, the IP addresses of the hops, your packet takes
936560	953120	from here to there. Okay. Now, the hops and ASs are different things, right? A hop is a physical
953120	960080	hop from IP router to IP router or from IP host to the router or from IP router to the destination host,
961040	969040	right? All these are physical hops. Now, there are AS hops, which means how many ASs you go through
969040	975680	on the way to the destination. Well, every AS typically has at least a hop within it, right?
976400	981200	So, you enter an AS through what's called an entry router and you exit through an exit router.
981200	986240	They may be connected directly or there may be intermediate hops within the AS.
986240	995120	So, trace route should tell you that, but some ASs do not expose their internal structure
995920	999520	and they will not reply to this, will not respect the trace route.
1001280	1005520	So, it's not guaranteed. Typically, what you see in trace route is correct, but it's not complete.
1005520	1021440	All right. Any questions so far? ICMP is the protocol I mentioned, right? Instead of for plumbing on the
1021440	1029200	internet, it's a very compact transport layer protocol that is used for exchanging maintenance
1029200	1033920	messages. This is actually a protocol, not a packet format. I mean, it has packet formats,
1033920	1040080	but it is a protocol meaning messages here are generated upon some events and they have mean.
1041840	1052000	So, error reporting, congestion control, reachability, timing, etc. Okay? So, destination
1052000	1057760	unreachable I already mentioned. Time exceeded. Oh, that's when TTL gets decremented to zero. Remember
1057760	1063760	TTL and IP packet header? And this packet has been, yeah, usually set to 255. So, if something,
1064640	1070720	if it reached zero, this packet has been looping around. Something is very wrong. Parameter problem,
1070720	1076400	I'm not sure what the heck that is. Redirect to a better gateway means that, tells the previous gateway,
1076400	1081680	your routing is messed up. You're sending it to be a packet, but there's a better place, better next
1081680	1088560	hop of that packet than me. Reachability test, that's the one, echo reply, that's the one that trace
1088560	1099040	round uses. And timestamp reply, this is also for when you put a timestamp option in an IP option field.
1099040	1111120	TMI. Security issues. Many security issues because neither TCP nor IP were natively designed for
1111120	1118080	security. Remember, it was all designed in a very, uh, prehistoric, friendly world, where nobody wanted
1118080	1125440	to hurt each other, steal each other's information. So, uh, packets go by untrusted hosts, our routers,
1125440	1133120	uh, sniff, and maybe log packets. And sometimes, for good reason, organizations, uh, companies will
1133120	1141280	often log all IP traffic that comes from inside out and also inside in for all kinds of, uh, auditing
1141280	1146960	purposes. Like if shit hits the fan and things go wrong, they need to investigate and figure out, ah,
1146960	1153200	how exactly sort of forensically figure out what happened, right? Where did the malware come in? Where
1153200	1158240	did the phishing come in? Where did the routing update, you know, fake routing that they can be
1158240	1164480	so they need to do this. And so this logging can, or sniff, sniffing can happen for benign reasons,
1164480	1170880	or it can happen for non, for malicious reasons. IP addresses, as, as, as we talked about, are public.
1170880	1176880	They're not hidden, um, unless you're using IPsec, but even with IPsec, right, the outermost IP
1176880	1186560	here is visible. And it often provides some information. Uh, TCP connection. So IP is difficult
1186560	1196160	to abuse by itself because it's not a protocol, but TCP is a protocol. And you saw the state diagram
1196160	1201760	that I hope impressed the heck out of you, right? There are actually courses out there. When I was in
1201760	1207760	grad school, we had to memorize the freaking TCP diagram and answer, you know, final questions
1207760	1214880	that you should feel, you should feel lucky. I mean, pretty much everybody failed that. But,
1215680	1224080	but it was, it was rough. Um, TCP requires state, right? Because the connection is this connection
1224080	1228240	oriented protocol and every connection oriented protocol on the face of this earth requires state
1228240	1233440	here and there at the source and the destination or whatever the connection endpoints, right?
1234160	1242000	And that state isn't free. Depending on how your, uh, network protocol stack is implemented within
1242000	1250400	the kernel, outside the kernel, it is consuming memory and resources. There is a whole course discussion
1250400	1254000	of whether you should put, you know, an operating system should keep the network
1254000	1260240	stack inside the kernel or outside the kernel. Outside the kernel makes the kernel nicer, smaller,
1261200	1269840	easier to find bugs, et cetera, et cetera, faster maybe, but putting it inside makes networking faster.
1271200	1276720	Because if the, if the networking stack runs outside kernel space, you have to switch into the kernel
1276720	1283760	often, right? Because there's some still controls that need to take place. Anyway, um, state is important. And
1283760	1289680	there are attacks and so attacks on that state. And we will see one very impressive example called
