start	end	text
0	29980	which mail, as you'll know, has a mail from field, right, or all the emails that you receive have a from field, and that usually contains user ID, right, where is it coming from, and some domain name, that will result in the DNS lookup as well, and all kinds of spam checks and other ancillary encountered links will cause, even if bounce, like when an email bounces, even that requires that.
30000	60000	DNS lookup. Also, we'll talk separately about phishing, but many anti-phishing defenses rely on DNS, right, so they try to resolve a particular name and see if it's a legitimate record or if it's something iffy, right, so that's a problem, and that's the, so spoofing phishing with DNS
60000	78000	lookups, with poison DNS lookups, it's called farming, ph there, or phishing, from phishing. Let's see. There is also some nifty ways of what's called doing dynamic farming, which is essentially works like this. You provide
78000	107980	a bogus, like a fake DNS mapping, or a trusted server, and trick a victim, a user, into downloading a malicious script from some attackers controlled evil server. And then the idea is that, what, what, what, what, what, what a phishers or attackers are generally after, they're after obtaining some sensitive information. So, the idea is that you download a malicious script from some evil attacker controlled
107980	137980	server server, and then force the user to also download some restricted internal content. Think about not your home, think about working for a company, right, organization, where you have sensitive content hosted internally, okay? Like some maybe scripted salary lookups, or personnel record management, or some proprietary product designs, okay?
137980	144980	So, if you have sensitive information, and so the idea, the attacker's goal is to get access to that sensitive information, right?
144980	166980	So, if you manage to do that, right, and if you manage to fool JavaScript into, or the browser to realizing that, oh, the evil, the evil script, right, if you download it, and the sensitive content that that evil script tries to access,
166980	186980	have the same origin, then access will be granted. Java, I mean, your browsers usually have this policy, I mean, all browsers have this policy called same origin policy, which means that, and that's why, for example, cookies tend to be, unless they are third party cookies, tend to be proprietary, right?
186980	208980	The cookie from let's say, Microsoft cannot be read by cookie from IBM, right? So they are separate. And that has to do with that same, fundamental same origin policy, right? So if HTML, if a page comes from IBM, and it wants to access a Microsoft cookie, it cannot, because they have different origins.
208980	230980	Okay? Because cookie by Microsoft was put there by MSN.com, or MS.com, or Microsoft.com, and cookie from IBM has an origin of IBM.com. Two different origins. But, if you have, let's say, WW, MSN, MS.com, it can access a cookie placed by MS.com, because the origin is the same.
230980	252980	So that's the idea. So that's the idea. So let's consider an example. Okay, I'll give you an example. We have a web server, okay? And it sits at this address, intergood.net, okay, inside the organization, okay? And it has a private IP address.
252980	268980	If everybody know this, okay, private IP addresses are different from public IP addresses, so it's like an internal network, a mail, and the address, let's say, is 10-0-0-7, and this server cannot be accessed from outside, okay?
268980	278980	So if you try to connect from the outside, the firewall will not match, okay? And anyway, you cannot, there's no routing to that address, right?
278980	290980	If you try to send a packet from the outside to 10-0-0-7, you'll get a destination and reach it even without firewall, because that's called a private IP address.
290980	296980	And IP routing or internet routing does not route to such addresses.
296980	304980	Okay, so this web server hosts, stores sensitive data and sensitive applications, okay?
304980	318980	So what the attacker does is that the attacker sits at evil.org, gets a user who is an inside, Alice, to browse www.evil.org, okay?
318980	332980	And you might think, well, how does he do that? But by now you should probably realize that there are many ways to do this with a, let's say, poison SMS message, iMessage, WhatsApp message, signal message, whatever.
332980	338980	You can come on any messaging service, you can also come via email. Messaging is better because it's usually very quick, right?
338980	344980	And if somebody falls for the phishing, they will do it very quickly, right?
344980	360980	So the idea is that to get Alice to browse this, I mean, basically click on a link with www.evil.org, and the attackers placed a malicious JavaScript code on that evil.org, okay?
360980	373980	And that code, right, as Alice enters www.evil.org, slash whatever, or slash nothing, and she automatically downloads, right, this JavaScript.
373980	382980	Totally fine to download JavaScript. You can turn off JavaScript, but then a lot of websites won't work, right?
382980	399980	So, okay, and so now this JavaScript says, okay, now I am inside, I can access something on this interhood.net, which is the internal server, like some CGI app or something like that.
399980	406980	But it can't do that. It can't do that because that would be a violation of, say, origin policy, right?
406980	415980	Because the origin of malicious JavaScript is exactly www, is actually evil.org.
415980	422980	Evil.org, not equal to good.net, okay?
422980	428980	Different origin, goodbye. So, no way.
428980	438980	But, if the attacker also controls DNS, that becomes a real problem.
438980	443980	So, here's the scenario. Go for it step by step.
443980	449980	So, we have ZDAT 10.0.0.21, Alice's computer device.
449980	456980	So, Alice has been tricked into looking up some way, right?
456980	459980	www.evil.org.
459980	462980	So, this goes to evil.org DNS.
462980	463980	There's a DNS server, right?
463980	467980	Authoritative DNS server that's set up by the adversary.
467980	471980	And I'm showing you not all interactions.
471980	474980	Actually, when you look up DNS, remember, you go to the root, right?
474980	482980	And the root says, oh, it's going to the .org, and then .org says, oh, okay, here's the evil.org DNS server.
482980	483980	Remember that?
483980	484980	There's a multiple step.
484980	485980	I'm omitting that.
485980	486980	I'm just saying.
486980	488980	I'm basically abstracting it away.
488980	496980	So, eventually, good.net, the power goes to this evil.org DNS server, and gets back an address, a real address,
496980	503980	an external address, 222334455, with a pretty short TTL, right?
503980	508980	So, it's not going to sit in the cache for too long, right?
508980	512980	And then, right, as she actually does a get, right?
512980	520980	Because when you do a click on the URL, the first thing is the DNS looked up, and then you actually do an HTTP get.
520980	521980	So, she gets something.
521980	523980	I put the slash there, but whatever.
523980	524980	It doesn't really matter.
524980	526980	Some URL from there, okay?
526980	530980	On this evil.org, and the response is a malicious JavaScript, right?
530980	534980	Some kind of a page that contains a malicious JavaScript code.
534980	535980	Okay?
535980	537980	You're with me so far?
537980	538980	Okay.
538980	540980	That comes from an evil.org website.
540980	541980	Okay?
541980	545980	Not from the DNS server, from evil DNS server, but the evil.org actual website.
545980	549980	And that's the correct, that 222 address is actually correct for that.
549980	556980	Now, because that TTL expires very quickly, right?
556980	560980	Some here, here, it expires, the TTL.
560980	568980	So, the next time, or actually the next time, when as Alice loads the web page, okay?
568980	570980	There can be some delay, right?
570980	571980	That can be inserted there.
